activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
16334243912,1,Lap 1,542,542,1.609,10.69,13.18,142.0,157.0,278.6,82.1,14.6,2025-11-02 08:03:26
16334243912,2,Lap 2,312,41,0.118,10.37,13.03,138.2,154.0,234.1,82.3,0.0,2025-11-02 08:12:30
16334243912,3,Lap 3,210,210,0.845,14.47,18.14,153.6,164.0,355.3,89.3,0.0,2025-11-02 08:17:43
16334243912,4,Lap 4,109,109,0.219,7.24,12.53,153.9,162.0,188.8,80.2,0.0,2025-11-02 08:21:14
16334243912,5,Lap 5,219,219,0.849,13.97,17.21,159.7,166.0,341.7,87.4,0.0,2025-11-02 08:23:03
16334243912,6,Lap 6,125,125,0.223,6.44,12.82,157.7,167.0,164.8,78.6,0.0,2025-11-02 08:26:43
16334243912,7,Lap 7,213,213,0.845,14.29,16.92,162.2,170.0,348.7,88.4,0.0,2025-11-02 08:28:48
16334243912,8,Lap 8,118,118,0.219,6.66,13.39,161.7,170.0,187.2,79.8,0.0,2025-11-02 08:32:22
16334243912,9,Lap 9,206,206,0.84,14.69,17.35,160.1,167.0,360.7,88.4,2.4,2025-11-02 08:34:20
16334243912,10,Lap 10,206,206,0.27,4.72,13.82,139.5,167.0,108.5,64.5,0.6,2025-11-02 08:37:46
16334243912,11,Lap 11,89,89,0.415,16.78,21.82,153.6,171.0,394.7,95.1,0.0,2025-11-02 08:41:13
16334243912,12,Lap 12,408,320,0.66,7.42,14.33,137.1,173.0,203.0,80.8,0.0,2025-11-02 08:42:43
16334243912,13,Lap 13,2,2,0.005,9.36,4.54,139.5,140.0,171.5,78.0,0.0,2025-11-02 08:49:31
