activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
16005045227,1,Lap 1,1781,1781,1.609,3.24,5.35,126.0,138.0,,52.7,154.6,2025-10-01 03:17:14
16005045227,2,Lap 2,2210,1804,1.491,2.99,5.22,126.8,140.0,,50.6,197.6,2025-10-01 03:47:00
16005045227,3,Lap 3,1918,1918,1.609,3.02,5.98,112.8,136.0,,52.4,163.2,2025-10-01 04:23:48
16005045227,4,Lap 4,105,105,0.046,1.55,6.08,123.5,132.0,,53.0,0.4,2025-10-01 04:55:53
16005045227,5,Lap 5,2015,2015,1.609,2.88,7.82,120.3,142.0,,53.0,112.0,2025-10-01 04:57:32
16005045227,6,Lap 6,2455,2455,1.609,2.38,6.77,126.3,144.0,,50.5,181.8,2025-10-01 05:31:14
16005045227,7,Lap 7,3484,3484,1.609,1.66,4.25,119.8,150.0,,51.1,185.2,2025-10-01 06:12:06
16005045227,8,Lap 8,2863,2863,1.609,2.02,4.97,137.3,154.0,,54.7,171.8,2025-10-01 07:10:08
16005045227,9,Lap 9,2462,2462,1.609,2.34,4.25,135.6,147.0,,51.0,202.2,2025-10-01 07:57:53
16005045227,10,Lap 10,3543,3543,1.609,1.62,4.26,120.9,144.0,,56.1,211.4,2025-10-01 08:38:59
16005045227,11,Lap 11,2895,2895,1.609,2.02,4.83,113.9,135.0,,55.1,143.0,2025-10-01 09:37:57
16005045227,12,Lap 12,3432,3432,1.609,1.69,4.14,124.9,148.0,,51.9,159.2,2025-10-01 10:26:12
16005045227,13,Lap 13,4803,2526,1.609,2.3,6.48,121.6,142.0,,54.3,81.8,2025-10-01 11:23:25
16005045227,14,Lap 14,2547,2547,1.609,2.27,5.97,104.4,128.0,,54.0,17.0,2025-10-01 12:43:33
16005045227,15,Lap 15,2319,2319,1.609,2.48,5.22,105.8,146.0,,55.7,61.6,2025-10-01 13:25:59
16005045227,16,Lap 16,1954,1954,1.609,2.95,5.58,118.9,128.0,,55.1,2.0,2025-10-01 14:04:36
16005045227,17,Lap 17,2498,2498,1.609,2.3,7.27,103.8,128.0,,57.7,5.6,2025-10-01 14:37:14
16005045227,18,Lap 18,1827,1827,1.609,3.17,4.92,118.4,131.0,,56.1,5.2,2025-10-01 15:18:53
16005045227,19,Lap 19,2309,2309,1.609,2.52,5.4,116.8,126.0,,57.3,4.8,2025-10-01 15:49:16
16005045227,20,Lap 20,1591,1591,1.609,3.64,6.18,114.4,133.0,,56.9,16.4,2025-10-01 16:27:50
16005045227,21,Lap 21,1709,1709,1.609,3.38,8.9,107.0,119.0,,58.2,2.0,2025-10-01 16:54:17
16005045227,22,Lap 22,1336,1336,1.609,4.32,6.64,106.3,112.0,,60.7,0.0,2025-10-01 17:22:48
16005045227,23,Lap 23,1339,1339,1.609,4.32,6.17,102.6,110.0,,59.8,0.0,2025-10-01 17:45:03
16005045227,24,Lap 24,464,464,0.535,4.14,5.69,102.1,112.0,,56.7,0.0,2025-10-01 18:07:26
