activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
15811410682,1,Lap 1,517,517,1.609,11.2,13.03,143.5,156.0,270.8,83.3,2.0,2025-09-14 07:54:13
15811410682,2,Lap 2,527,527,1.609,10.98,13.25,151.5,159.0,279.3,84.6,11.2,2025-09-14 08:02:52
15811410682,3,Lap 3,584,577,1.609,10.04,12.82,149.9,158.0,246.7,84.2,26.8,2025-09-14 08:11:40
15811410682,4,Lap 4,532,532,1.609,10.91,13.18,155.0,164.0,270.5,85.2,5.4,2025-09-14 08:21:24
15811410682,5,Lap 5,546,546,1.609,10.62,14.26,156.6,163.0,270.5,84.3,9.0,2025-09-14 08:30:17
15811410682,6,Lap 6,594,533,1.609,10.87,13.03,157.8,166.0,278.3,85.1,16.4,2025-09-14 08:39:23
15811410682,7,Lap 7,646,563,1.609,10.3,15.05,158.5,169.0,262.2,84.6,24.6,2025-09-14 08:49:18
15811410682,8,Lap 8,557,557,1.609,10.4,14.18,160.8,167.0,274.6,84.3,19.8,2025-09-14 09:00:04
15811410682,9,Lap 9,660,558,1.609,10.37,15.48,164.1,173.0,276.6,85.7,39.8,2025-09-14 09:09:21
15811410682,10,Lap 10,556,556,1.609,10.4,12.89,163.6,167.0,269.5,84.4,13.0,2025-09-14 09:20:22
15811410682,11,Lap 11,81,81,0.21,9.32,11.38,162.2,164.0,259.3,84.0,6.2,2025-09-14 09:29:38
