activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
17420151205,1,Lap 1,2651,0,0.634,0.86,8.42,86.9,120.0,,,28.8,2026-02-16 12:06:07
17420151205,2,Lap 2,400,0,0.421,3.78,22.39,90.9,104.0,,,9.8,2026-02-16 12:53:59
17420151205,3,Lap 3,401,0,0.4,3.6,26.86,88.0,103.0,,,46.8,2026-02-16 13:00:36
17420151205,4,Lap 4,431,0,0.401,3.35,24.77,92.0,104.0,,,9.8,2026-02-16 13:04:42
17420151205,5,Lap 5,374,0,0.471,4.54,29.66,98.4,126.0,,,9.8,2026-02-16 13:13:29
17420151205,6,Lap 6,320,0,0.342,3.85,18.86,101.8,115.0,,,10.0,2026-02-16 13:17:27
17420151205,7,Lap 7,4283,0,0.517,0.43,15.9,92.3,117.0,,,10.0,2026-02-16 13:27:38
17420151205,8,Lap 8,1607,0,0.478,1.08,22.32,70.6,102.0,,,51.4,2026-02-16 14:53:09
17420151205,9,Lap 9,780,0,0.467,2.16,22.9,88.8,102.0,,,10.2,2026-02-16 15:05:28
17420151205,10,Lap 10,733,0,0.33,1.62,36.29,87.9,93.0,,,0.0,2026-02-16 15:18:01
