activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
16555570256,1,Lap 1,523,523,1.609,11.09,13.32,148.8,163.0,270.0,81.5,2.2,2025-11-24 11:22:17
16555570256,2,Lap 2,636,636,1.609,9.11,12.31,158.9,168.0,251.8,81.0,24.2,2025-11-24 11:31:02
16555570256,3,Lap 3,588,588,1.609,9.86,13.25,160.3,167.0,261.1,82.6,15.0,2025-11-24 11:41:38
16555570256,4,Lap 4,557,557,1.609,10.4,12.74,165.8,171.0,267.1,82.9,8.8,2025-11-24 11:51:27
16555570256,5,Lap 5,318,313,0.836,9.61,12.31,165.6,169.0,273.0,81.9,17.8,2025-11-24 12:00:45
