activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
14622279660,1,Lap 1,515,515,1.609,11.23,14.04,146.7,157.0,290.3,81.8,16.4,2025-05-28 12:06:31
14622279660,2,Lap 2,529,529,1.609,10.94,13.61,160.4,168.0,295.9,82.1,27.6,2025-05-28 12:15:08
14622279660,3,Lap 3,563,563,1.609,10.3,14.26,162.4,170.0,273.0,82.6,27.0,2025-05-28 12:23:58
14622279660,4,Lap 4,124,124,0.39,11.3,13.75,164.9,170.0,281.0,83.1,3.0,2025-05-28 12:33:21
