activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13009209317,1,Lap 1,572,532,1.609,10.91,13.46,138.5,157.0,280.8,83.8,14.6,2024-11-29 08:44:47
13009209317,2,Lap 2,530,530,1.609,10.94,20.59,158.6,165.0,292.1,83.9,15.8,2024-11-29 08:54:21
13009209317,3,Lap 3,530,530,1.609,10.94,12.96,159.7,165.0,282.7,83.5,8.2,2024-11-29 09:03:12
13009209317,4,Lap 4,537,537,1.609,10.8,14.18,160.3,164.0,280.2,83.8,16.2,2024-11-29 09:12:02
13009209317,5,Lap 5,552,552,1.609,10.51,13.25,160.9,166.0,276.5,82.9,24.4,2024-11-29 09:21:00
13009209317,6,Lap 6,544,544,1.609,10.66,17.57,159.5,164.0,274.6,83.3,14.4,2024-11-29 09:30:12
13009209317,7,Lap 7,546,546,1.609,10.62,14.04,157.7,166.0,275.9,83.6,19.2,2024-11-29 09:39:17
13009209317,8,Lap 8,23,23,0.087,13.54,15.12,162.5,163.0,234.0,84.4,0.0,2024-11-29 09:48:23
