activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
19571691270,1,Lap 1,589,585,1.609,9.9,12.53,140.6,154.0,251.6,81.3,8.2,2026-08-02 07:20:32
19571691270,2,Lap 2,662,583,1.609,9.94,13.75,148.9,161.0,248.3,81.3,3.0,2026-08-02 07:30:22
19571691270,3,Lap 3,582,582,1.609,9.97,13.61,156.8,164.0,249.5,81.8,0.0,2026-08-02 07:41:24
19571691270,4,Lap 4,578,578,1.609,10.01,13.61,164.4,172.0,253.3,82.4,7.8,2026-08-02 07:51:07
19571691270,5,Lap 5,506,300,0.75,9.0,12.82,167.5,174.0,270.2,80.7,22.0,2026-08-02 08:00:45
19571691270,6,Lap 6,15,15,0.065,15.62,23.76,119.8,124.0,189.3,112.8,0.0,2026-08-02 08:09:11
19571691270,7,Lap 7,43,43,0.049,4.14,10.08,124.1,143.0,93.0,51.8,2.6,2026-08-02 08:09:27
19571691270,8,Lap 8,12,12,0.062,18.68,23.69,142.0,146.0,388.3,97.9,0.0,2026-08-02 08:10:11
19571691270,9,Lap 9,58,58,0.07,4.32,12.17,150.2,162.0,71.5,51.1,0.2,2026-08-02 08:10:23
19571691270,10,Lap 10,15,15,0.071,17.03,21.82,131.4,134.0,183.9,104.0,0.0,2026-08-02 08:11:22
