activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
15595618952,1,Lap 1,571,571,1.609,10.15,12.89,130.3,143.0,246.0,82.7,0.0,2025-08-26 10:15:54
15595618952,2,Lap 2,626,611,1.609,9.47,11.74,140.6,149.0,242.4,83.2,6.4,2025-08-26 10:25:27
15595618952,3,Lap 3,646,611,1.609,9.47,12.46,147.8,159.0,247.0,83.3,9.4,2025-08-26 10:35:54
15595618952,4,Lap 4,575,575,1.609,10.08,13.25,157.7,162.0,262.7,83.6,16.0,2025-08-26 10:46:41
15595618952,5,Lap 5,71,71,0.2,10.15,13.32,163.9,166.0,297.7,84.5,6.0,2025-08-26 10:56:16
