activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
14337939656,1,Lap 1,509,509,1.609,11.38,13.32,153.6,164.0,302.1,84.4,9.8,2025-04-30 16:11:38
14337939656,2,Lap 2,521,502,1.609,11.56,14.18,154.9,161.0,303.7,84.6,16.2,2025-04-30 16:20:09
14337939656,3,Lap 3,520,520,1.609,11.12,14.47,161.7,164.0,292.5,83.7,23.4,2025-04-30 16:28:50
14337939656,4,Lap 4,528,528,1.609,10.98,14.18,164.1,166.0,287.3,83.1,20.4,2025-04-30 16:37:31
14337939656,5,Lap 5,14,14,0.051,13.25,13.97,164.4,165.0,286.8,83.2,0.0,2025-04-30 16:46:20
