activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13479655570,1,Lap 1,239,0,0.446,6.73,23.69,85.1,94.0,,,9.8,2025-01-28 18:14:40
13479655570,2,Lap 2,348,0,0.44,4.54,29.59,88.4,124.0,,,9.8,2025-01-28 18:20:21
13479655570,3,Lap 3,448,0,0.443,3.56,26.93,85.5,105.0,,,8.6,2025-01-28 18:27:09
13479655570,4,Lap 4,338,0,0.375,4.0,34.27,89.3,105.0,,,10.0,2025-01-28 18:33:13
13479655570,5,Lap 5,570,0,0.477,3.02,18.86,81.5,118.0,,,10.2,2025-01-28 18:39:25
13479655570,6,Lap 6,573,0,0.457,2.88,21.53,81.7,98.0,,,10.0,2025-01-28 18:48:55
13479655570,7,Lap 7,978,0,0.53,1.94,15.7,78.5,93.0,,,10.0,2025-01-28 18:59:16
13479655570,8,Lap 8,434,0,0.446,3.71,25.2,83.4,105.0,,,10.2,2025-01-28 19:14:47
13479655570,9,Lap 9,641,0,0.583,3.28,39.53,83.8,109.0,,,9.4,2025-01-28 19:22:45
13479655570,10,Lap 10,510,0,0.314,2.23,21.31,78.6,84.0,,,0.0,2025-01-28 19:35:34
