activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
18920002811,1,Lap 1,543,543,1.609,10.66,12.82,155.7,172.0,293.0,81.8,22.4,2026-06-14 08:33:04
18920002811,2,Lap 2,623,527,1.609,10.98,14.33,151.6,163.0,270.6,83.5,4.4,2026-06-14 08:42:09
18920002811,3,Lap 3,509,509,1.609,11.38,14.76,160.2,169.0,289.2,84.1,4.4,2026-06-14 08:52:32
18920002811,4,Lap 4,598,514,1.609,11.27,14.83,162.4,171.0,284.9,84.1,13.6,2026-06-14 09:01:01
18920002811,5,Lap 5,646,574,1.609,10.08,13.75,162.7,169.0,266.2,82.7,18.6,2026-06-14 09:11:00
18920002811,6,Lap 6,562,560,1.609,10.33,13.9,168.2,173.0,259.0,83.4,7.6,2026-06-14 09:21:46
18920002811,7,Lap 7,241,241,0.736,10.98,14.69,168.4,174.0,263.1,83.2,5.2,2026-06-14 09:31:09
