activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
19786514084,1,Lap 1,520,520,1.609,11.12,17.14,144.5,166.0,277.2,82.1,8.6,2026-08-17 16:15:42
19786514084,2,Lap 2,588,534,1.609,10.84,15.98,160.6,174.0,282.9,82.4,14.4,2026-08-17 16:24:24
19786514084,3,Lap 3,567,567,1.609,10.22,15.98,169.4,177.0,283.4,80.9,17.2,2026-08-17 16:34:14
19786514084,4,Lap 4,23,23,0.082,12.85,17.5,173.1,174.0,337.8,86.3,0.6,2026-08-17 16:43:41
