activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
14767038719,1,Lap 1,511,511,1.609,11.34,15.19,144.9,160.0,289.5,82.0,19.8,2025-06-11 11:08:10
14767038719,2,Lap 2,532,532,1.609,10.91,13.97,160.9,168.0,280.5,83.2,23.8,2025-06-11 11:16:43
14767038719,3,Lap 3,535,535,1.609,10.84,13.39,161.1,168.0,276.5,83.2,11.8,2025-06-11 11:25:36
14767038719,4,Lap 4,539,534,1.609,10.84,14.26,164.9,171.0,277.6,83.3,10.2,2025-06-11 11:34:31
14767038719,5,Lap 5,354,354,0.848,8.64,12.24,166.0,172.0,284.1,81.6,39.2,2025-06-11 11:43:31
