activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
14600057662,1,Lap 1,550,550,1.609,10.55,14.54,140.8,153.0,266.1,81.4,20.8,2025-05-26 09:01:59
14600057662,2,Lap 2,569,569,1.609,10.19,13.18,147.9,159.0,275.1,82.3,30.6,2025-05-26 09:11:11
14600057662,3,Lap 3,564,564,1.609,10.26,13.18,153.1,163.0,257.2,82.1,12.4,2025-05-26 09:20:41
14600057662,4,Lap 4,550,550,1.609,10.55,13.46,154.9,164.0,270.7,83.3,8.4,2025-05-26 09:30:05
14600057662,5,Lap 5,623,623,1.609,9.29,13.68,155.8,165.0,265.9,81.9,45.8,2025-05-26 09:39:16
14600057662,6,Lap 6,51,51,0.153,10.84,14.26,161.8,164.0,300.7,83.2,2.8,2025-05-26 09:49:39
