activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
15759063373,1,Lap 1,695,674,1.609,8.6,11.88,132.3,159.0,218.9,81.5,10.8,2025-09-09 17:43:29
15759063373,2,Lap 2,721,721,1.609,8.03,11.38,136.0,159.0,221.7,81.2,22.6,2025-09-09 17:55:06
15759063373,3,Lap 3,1109,853,1.609,6.8,11.02,138.0,169.0,202.8,76.6,74.8,2025-09-09 18:07:08
15759063373,4,Lap 4,24,24,0.045,6.8,9.43,160.2,164.0,192.4,73.5,0.4,2025-09-09 18:25:37
