activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13705578217,1,Lap 1,515,515,1.609,11.23,13.25,146.1,158.0,292.7,83.8,9.4,2025-02-23 08:28:11
13705578217,2,Lap 2,528,528,1.609,10.98,15.19,156.8,167.0,280.1,84.6,9.8,2025-02-23 08:36:48
13705578217,3,Lap 3,585,562,1.609,10.3,13.68,146.6,154.0,253.8,85.4,3.0,2025-02-23 08:45:37
13705578217,4,Lap 4,619,594,1.609,9.76,14.83,155.4,165.0,253.4,85.4,12.8,2025-02-23 08:55:22
13705578217,5,Lap 5,295,283,0.854,10.87,14.76,162.2,167.0,287.3,84.4,21.2,2025-02-23 09:05:41
