activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13485188081,1,Lap 1,506,506,1.609,11.45,13.97,155.6,169.0,299.0,83.9,14.6,2025-01-29 11:14:24
13485188081,2,Lap 2,511,511,1.609,11.34,13.46,160.3,169.0,275.8,83.9,13.2,2025-01-29 11:22:52
13485188081,3,Lap 3,530,526,1.609,11.02,13.46,155.7,162.0,287.8,83.7,15.2,2025-01-29 11:31:23
13485188081,4,Lap 4,562,562,1.609,10.3,13.18,160.0,163.0,310.3,83.0,29.6,2025-01-29 11:40:14
13485188081,5,Lap 5,521,521,1.609,11.12,14.18,159.9,162.0,290.3,82.6,13.8,2025-01-29 11:49:36
13485188081,6,Lap 6,26,26,0.091,12.67,13.18,162.4,163.0,288.2,84.0,0.0,2025-01-29 11:58:17
