activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
16307025368,1,Lap 1,530,530,1.609,10.94,13.61,138.6,157.0,268.8,81.5,0.0,2025-10-30 15:09:01
16307025368,2,Lap 2,107,107,0.309,10.4,12.02,152.7,157.0,268.9,81.2,0.0,2025-10-30 15:17:53
16307025368,3,Lap 3,236,236,0.8,12.2,15.12,167.2,173.0,311.1,85.1,0.0,2025-10-30 15:19:40
16307025368,4,Lap 4,277,277,0.8,10.4,14.26,166.9,174.0,294.8,83.1,20.8,2025-10-30 15:23:37
16307025368,5,Lap 5,89,90,0.196,7.85,10.15,161.4,172.0,209.3,80.2,4.0,2025-10-30 15:28:15
16307025368,6,Lap 6,281,281,0.8,10.26,15.12,166.2,171.0,264.2,83.3,23.0,2025-10-30 15:29:45
16307025368,7,Lap 7,109,90,0.237,9.47,11.66,156.5,173.0,236.3,80.0,2.8,2025-10-30 15:34:27
16307025368,8,Lap 8,263,263,0.8,10.94,14.4,170.4,174.0,282.1,83.6,5.0,2025-10-30 15:36:16
16307025368,9,Lap 9,89,90,0.209,8.35,10.73,163.5,175.0,222.6,77.0,0.4,2025-10-30 15:40:40
16307025368,10,Lap 10,117,117,0.4,12.31,14.69,173.8,180.0,301.5,86.7,3.4,2025-10-30 15:42:09
16307025368,11,Lap 11,485,482,1.089,8.14,12.67,161.2,178.0,228.1,80.3,20.2,2025-10-30 15:44:07
