activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
13957129060,1,Lap 1,1297,0,1.981,5.51,47.95,113.1,127.0,,,0.0,2025-03-22 09:36:45
13957129060,2,Lap 2,325,0,0.145,1.62,18.0,89.0,111.0,,,10.0,2025-03-22 09:46:00
13957129060,3,Lap 3,1488,0,3.177,7.67,37.01,103.6,126.0,,,10.6,2025-03-22 10:00:27
13957129060,4,Lap 4,2137,0,3.179,5.36,36.58,115.1,160.0,,,12.4,2025-03-22 10:26:06
13957129060,5,Lap 5,2036,0,3.002,5.29,34.27,120.0,151.0,,,10.0,2025-03-22 11:02:03
13957129060,6,Lap 6,4905,0,1.279,0.94,42.55,101.8,143.0,,,9.8,2025-03-22 11:35:14
13957129060,7,Lap 7,969,0,1.128,4.18,44.21,129.3,153.0,,,2.6,2025-03-22 12:56:21
13957129060,8,Lap 8,261,0,0.085,1.15,7.92,90.2,102.0,,,7.6,2025-03-22 13:03:35
13957129060,9,Lap 9,1146,0,1.293,4.07,54.5,110.9,130.0,,,10.2,2025-03-22 13:17:17
13957129060,10,Lap 10,2061,0,1.821,3.17,37.01,121.0,148.0,,,10.4,2025-03-22 13:35:30
13957129060,11,Lap 11,1032,0,1.989,6.95,45.72,112.6,126.0,,,4.6,2025-03-22 14:11:42
