t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.299146,-71.680944,0.0,157.2,0.0,87,,,24,False,-11.5
1,42.29918,-71.680932,3.5,156.8,0.0,88,,,24,True,-10.4
4,42.29928,-71.680977,15.7,155.4,3.925,92,,,24,True,-10.4
5,42.29931,-71.680967,19.2,155.2,3.84,102,,,24,True,-9.4
6,42.299347,-71.680959,23.0,154.8,3.9,115,,,24,True,-8.1
7,42.29938,-71.680973,27.0,154.6,3.917,126,,,24,True,-10.4
8,42.299408,-71.681,30.5,154.2,3.857,130,,,24,True,-12.7
10,42.299467,-71.681049,38.4,153.2,3.84,131,,,24,True,-12.8
11,42.299496,-71.681044,41.9,152.4,3.78,131,,,24,True,-9.8
12,42.299529,-71.681028,45.7,152.2,3.74,130,,,24,True,-13.0
14,42.299595,-71.681055,52.9,152.0,3.733,129,,,24,True,-12.8
15,42.299625,-71.681077,56.8,150.8,3.68,127,,,24,True,-15.7
16,42.29966,-71.681077,60.6,150.0,3.74,125,,,24,True,-19.0
17,42.299696,-71.681062,64.8,149.2,3.82,126,,,24,True,-17.2
19,42.299761,-71.681087,72.9,148.2,4.0,125,,,24,True,-19.5
20,42.299777,-71.681113,75.4,147.6,3.72,125,,,24,True,-19.2
22,42.299823,-71.681136,81.1,146.0,3.26,123,,,24,True,-19.7
24,42.29989,-71.681096,88.8,144.6,3.18,121,,,24,True,-18.7
25,42.299932,-71.681105,93.2,144.2,3.56,120,,,24,True,-15.6
27,42.300004,-71.681141,102.2,142.6,4.22,118,,,24,True,-16.9
28,42.300041,-71.681124,106.7,142.0,4.267,117,,,24,True,-18.0
29,42.300085,-71.681107,111.3,140.8,4.5,116,,,24,True,-17.6
30,42.300119,-71.681129,115.4,140.2,4.44,116,,,24,True,-20.0
31,42.300147,-71.68116,119.2,139.6,4.333,116,,,24,True,-16.9
32,42.300181,-71.681178,123.7,138.6,4.3,116,,,24,True,-15.6
33,42.300218,-71.681161,127.9,138.0,4.24,116,,,24,True,-15.4
35,42.300299,-71.681168,137.2,136.8,4.36,116,,,24,True,-15.6
36,42.300332,-71.681199,141.3,136.2,4.42,116,,,24,True,-17.2
37,42.300371,-71.681224,146.8,135.0,4.62,116,,,24,True,-16.7
38,42.300413,-71.681224,151.2,134.0,4.66,116,,,24,True,-14.2
40,42.300503,-71.681282,162.3,132.6,5.02,116,,,24,True,-16.6
42,42.300575,-71.681368,173.6,131.6,5.36,117,,,24,True,-17.1
43,42.300617,-71.681376,178.1,129.8,5.38,117,,,24,True,-20.8
44,42.300661,-71.681384,182.7,128.6,5.25,118,,,24,True,-26.4
45,42.300701,-71.681421,188.3,127.2,5.2,118,,,24,True,-22.6
46,42.300731,-71.681471,193.3,126.4,5.167,119,,,24,True,-21.7
47,42.300774,-71.681505,199.3,125.0,5.14,120,,,24,True,-18.2
48,42.300826,-71.681512,204.8,123.8,5.34,120,,,24,True,-22.1
49,42.300874,-71.681533,210.3,123.2,5.52,121,,,24,True,-19.9
50,42.300901,-71.681578,215.0,121.6,5.34,121,,,24,True,-16.5
51,42.300925,-71.681623,219.4,121.0,5.22,120,,,24,True,-18.9
52,42.300957,-71.681649,224.2,120.6,4.98,119,,,24,True,-16.8
53,42.300993,-71.68164,228.3,119.8,4.7,119,,,24,True,-13.0
54,42.301039,-71.681628,232.9,118.6,4.52,119,,,24,True,-12.7
55,42.301079,-71.681649,237.9,118.6,4.58,119,,,24,True,-12.1
57,42.301141,-71.681735,247.8,117.6,4.72,117,,,24,True,-11.7
58,42.30117,-71.681745,251.5,117.0,4.64,118,,,24,True,-19.0
59,42.301202,-71.681732,255.2,116.0,4.46,118,,,24,True,-23.8
60,42.301237,-71.681724,259.0,114.6,4.22,118,,,24,True,-15.3
61,42.301275,-71.681729,262.9,114.0,4.167,118,,,24,True,-12.7
64,42.301358,-71.681828,275.1,113.4,3.98,116,,,24,True,-12.3
65,42.301392,-71.681834,278.9,113.0,3.98,116,,,24,True,-14.8
66,42.301433,-71.681825,283.3,111.6,4.08,116,,,24,True,-20.1
67,42.301481,-71.681817,288.6,110.2,4.283,116,,,24,True,-19.2
68,42.301532,-71.681834,294.0,109.6,4.443,116,,,24,True,-16.8
69,42.301563,-71.68187,298.7,109.2,4.72,115,,,24,True,-20.9
70,42.301569,-71.681895,301.2,108.6,4.46,115,,,24,True,-25.2
71,42.301571,-71.681905,302.0,107.4,3.74,114,,,24,True,-28.6
74,42.301591,-71.681928,305.1,106.8,1.28,111,,,24,True,-30.9
75,42.301599,-71.681936,306.4,106.8,1.04,109,,,24,True,-34.6
76,42.301604,-71.681941,307.1,106.8,1.02,108,,,24,True,-37.2
80,42.301605,-71.681942,307.9,106.2,0.3,111,,,24,False,-29.1
81,42.301609,-71.681941,308.4,106.2,0.26,111,,,24,True,-17.5
88,42.30161,-71.681939,309.1,105.6,0.15,105,,,24,False,-15.0
89,42.301612,-71.681939,309.3,105.6,0.113,105,,,24,False,-11.4
95,42.301608,-71.681947,309.8,105.4,0.1,106,,,23,False,-13.3
103,42.301598,-71.681962,310.3,105.6,0.071,106,,,23,False,-8.0
105,42.301605,-71.681953,311.5,105.6,0.17,107,,,23,True,-9.2
109,42.301608,-71.681946,312.3,105.6,0.333,107,,,23,False,-14.3
115,42.301607,-71.681937,313.1,105.6,0.16,107,,,23,False,-10.0
117,42.301609,-71.681947,313.9,105.8,0.2,112,,,23,True,-6.2
119,42.30161,-71.681946,313.9,105.8,0.16,115,,,23,False,-4.2
121,42.301611,-71.681945,314.0,105.6,0.15,117,,,23,False,-3.9
124,42.301612,-71.681941,314.1,105.6,0.04,120,,,23,False,-4.1
129,42.301611,-71.681945,315.0,106.0,0.125,121,,,23,False,-5.6
131,42.301611,-71.681945,315.1,106.0,0.143,115,,,23,False,-5.8
132,42.301611,-71.681945,315.1,106.0,0.125,115,,,23,False,2.1
137,42.301613,-71.681958,316.2,105.4,0.183,118,,,23,False,4.2
138,42.301614,-71.681955,316.2,105.4,0.183,120,,,23,False,4.2
150,42.301617,-71.681951,316.4,105.8,0.015,122,,,23,False,0.0
153,42.301618,-71.681947,316.4,106.0,0.013,119,,,23,False,2.0
158,42.301611,-71.681945,316.7,106.2,0.038,115,,,23,False,2.0
160,42.301611,-71.681945,316.7,106.4,0.043,123,,,23,False,2.0
161,42.301611,-71.681945,316.7,106.4,0.038,123,,,23,False,0.0
163,42.301611,-71.681945,317.3,106.4,0.12,120,,,23,True,-2.0
