t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.420113,-71.196129,1.5,84.2,0.0,83,0,0,,False,-3.6
1,42.420133,-71.19612,3.0,84.2,1.5,83,0,0,,True,-2.7
2,42.420149,-71.196135,5.0,84.2,1.75,82,0,0,,True,-2.3
3,42.420166,-71.196149,7.0,84.0,1.833,83,0,0,,True,-3.8
4,42.420184,-71.196153,9.0,84.0,1.875,83,0,0,,True,-3.5
5,42.420195,-71.196142,10.1,84.0,1.72,83,0,0,,True,-3.4
6,42.420206,-71.196124,12.0,83.8,1.8,84,0,0,,True,-3.2
7,42.420218,-71.196101,14.4,83.8,1.88,84,0,0,,True,-3.2
8,42.420227,-71.196074,16.7,83.8,1.94,84,0,0,,True,-1.9
9,42.420241,-71.196043,19.6,83.6,2.12,84,0,0,,True,-1.8
10,42.420256,-71.196015,22.7,83.6,2.52,84,0,0,,True,-1.7
11,42.420272,-71.195989,25.5,83.6,2.7,85,0,0,,True,0.0
12,42.420287,-71.195956,28.6,83.6,2.84,85,0,0,,True,0.0
13,42.420299,-71.195918,31.8,83.6,3.02,85,0,0,,True,0.0
14,42.420303,-71.195876,35.1,83.6,3.1,87,0,0,,True,0.0
15,42.420306,-71.195831,38.7,83.6,3.2,89,0,0,,True,1.4
16,42.420305,-71.195786,42.7,83.6,3.44,90,0,0,,True,1.5
17,42.420301,-71.19575,45.6,83.8,3.4,91,0,0,,True,3.0
18,42.420299,-71.195712,48.7,83.8,3.38,91,89,320,,True,3.3
19,42.420295,-71.195674,52.0,84.0,3.38,93,89,297,,True,3.4
20,42.420293,-71.19564,54.9,84.0,3.24,94,89,285,,True,5.3
21,42.420288,-71.195609,57.4,84.2,2.94,95,0,0,,True,5.7
22,42.420283,-71.195578,60.0,84.4,2.88,94,0,0,,True,7.6
23,42.42028,-71.195546,62.5,84.6,2.76,93,0,0,,True,7.5
24,42.420277,-71.195513,65.4,84.8,2.68,92,0,0,,True,9.7
25,42.420275,-71.195481,68.1,85.0,2.64,91,0,0,,True,9.2
26,42.420269,-71.195451,70.3,85.4,2.58,91,0,0,,True,9.3
27,42.420265,-71.195415,73.4,85.6,2.68,91,0,0,,True,9.6
28,42.42026,-71.195385,76.1,85.8,2.72,90,87,268,,True,9.4
29,42.420256,-71.195356,78.5,86.0,2.62,90,87,274,,True,9.8
30,42.420252,-71.195329,80.9,86.4,2.56,90,87,282,,True,10.2
31,42.420249,-71.1953,83.1,86.6,2.56,90,0,0,,True,11.8
32,42.420246,-71.19527,85.6,86.8,2.44,92,0,0,,True,9.9
33,42.420241,-71.195242,87.9,87.0,2.36,92,0,0,,True,11.3
34,42.420236,-71.195212,90.4,87.4,2.38,94,0,0,,True,11.5
35,42.42023,-71.195182,93.0,87.6,2.42,94,85,264,,True,11.7
36,42.420226,-71.195154,95.5,88.0,2.48,95,85,291,,True,10.1
37,42.42022,-71.195126,97.8,88.2,2.44,96,85,316,,True,8.8
38,42.420216,-71.195099,99.9,88.4,2.4,97,0,0,,True,8.9
39,42.420213,-71.195072,102.3,88.6,2.38,98,0,0,,True,9.2
40,42.420208,-71.195047,104.4,88.6,2.28,99,0,0,,True,9.3
41,42.420203,-71.195021,106.7,89.0,2.24,100,0,0,,True,9.4
42,42.420199,-71.194997,108.7,89.2,2.18,100,0,0,,True,11.4
43,42.420195,-71.194973,110.7,89.4,2.16,101,0,0,,True,9.6
44,42.420189,-71.194947,112.9,89.6,2.12,102,0,0,,True,11.3
45,42.420185,-71.194923,114.9,89.8,2.1,102,0,0,,True,11.1
46,42.420179,-71.194897,117.1,90.0,2.08,103,0,0,,True,11.3
47,42.420173,-71.194872,119.3,90.4,2.12,103,0,0,,True,11.8
48,42.420168,-71.194848,121.5,90.6,2.16,104,0,0,,True,12.6
49,42.420165,-71.194826,123.5,90.8,2.12,105,0,0,,True,12.6
50,42.420161,-71.194808,125.1,91.0,2.04,105,0,0,,True,11.2
51,42.420157,-71.194789,126.6,91.2,1.9,106,0,0,,True,13.1
52,42.420154,-71.194769,128.2,91.4,1.78,106,0,0,,True,11.2
53,42.420149,-71.194746,130.0,91.6,1.7,106,0,0,,True,10.9
54,42.420145,-71.194721,132.2,92.0,1.74,107,0,0,,True,10.3
55,42.42014,-71.194698,134.2,92.0,1.82,107,0,0,,True,9.7
56,42.420137,-71.194674,136.1,92.2,1.9,108,0,0,,True,5.7
57,42.420133,-71.194649,138.2,92.4,2.0,108,0,0,,True,7.3
58,42.420131,-71.194623,140.3,92.6,2.06,109,0,0,,True,5.1
59,42.420128,-71.194595,142.7,92.6,2.1,109,80,276,,True,3.3
60,42.420123,-71.194564,145.2,92.8,2.2,109,80,328,,True,2.0
61,42.420117,-71.194534,147.8,92.8,2.34,109,80,345,,True,1.9
62,42.420111,-71.194505,150.3,92.8,2.42,110,80,362,,True,-1.9
63,42.420104,-71.194473,153.0,92.8,2.54,110,82,373,,True,-1.9
64,42.420099,-71.19444,155.8,92.6,2.62,110,83,375,,True,-1.8
65,42.420094,-71.194408,158.6,92.6,2.68,111,83,380,,True,-1.8
66,42.420089,-71.194373,161.5,92.6,2.74,111,83,384,,True,0.0
67,42.420082,-71.194339,164.4,92.6,2.82,111,83,386,,True,0.0
68,42.420074,-71.194306,167.4,92.6,2.88,112,84,390,,True,0.0
69,42.420065,-71.194273,170.3,92.6,2.9,112,84,389,,True,-1.8
70,42.420056,-71.19424,173.0,92.6,2.88,112,84,388,,True,-1.8
71,42.420049,-71.194207,175.7,92.4,2.84,112,84,384,,True,-1.8
72,42.420043,-71.194173,178.6,92.4,2.84,112,84,378,,True,-1.7
73,42.420035,-71.194139,181.6,92.4,2.84,113,84,373,,True,-1.7
74,42.420028,-71.194104,184.5,92.4,2.84,113,84,367,,True,-1.7
75,42.420022,-71.194069,187.4,92.2,2.88,113,83,364,,True,-1.7
76,42.420014,-71.194033,190.4,92.2,2.94,113,83,356,,True,-3.3
77,42.420006,-71.193997,193.3,92.2,2.94,113,83,347,,True,-4.9
78,42.419997,-71.193959,196.6,92.0,3.0,113,84,338,,True,-4.9
79,42.419989,-71.193923,199.7,91.6,3.04,113,84,325,,True,-8.0
80,42.419984,-71.193887,202.6,91.6,3.04,113,84,311,,True,-8.1
81,42.419977,-71.193851,205.8,91.2,3.08,113,84,298,,True,-6.5
82,42.419971,-71.193817,208.9,91.0,3.12,113,84,285,,True,-8.4
83,42.419966,-71.193783,212.0,90.8,3.08,113,84,274,,True,-5.3
84,42.419961,-71.193752,214.5,90.6,2.96,113,82,262,,True,-5.4
85,42.419958,-71.193719,217.1,90.6,2.9,113,82,250,,True,-5.5
86,42.419952,-71.193684,220.0,90.4,2.84,113,82,241,,True,-5.6
87,42.419946,-71.193649,223.0,90.2,2.82,113,82,238,,True,-6.8
88,42.419937,-71.193617,225.3,90.0,2.66,113,82,236,,True,-5.3
89,42.41993,-71.193581,228.8,89.8,2.86,113,83,232,,True,-10.9
90,42.419923,-71.193551,231.4,89.8,2.86,113,84,231,,True,-5.9
117,42.4199,-71.193492,231.4,89.2,0.093,110,0,0,,False,-3.3
118,42.419899,-71.193492,232.2,89.2,0.029,110,0,0,,False,-1.7
119,42.419895,-71.193479,233.1,89.6,0.059,110,0,0,,True,-1.6
120,42.419888,-71.193455,235.0,89.6,0.12,109,0,0,,True,3.2
121,42.419882,-71.193426,237.4,89.6,0.194,109,0,0,,True,0.0
122,42.419873,-71.193386,240.6,89.6,1.84,109,0,0,,True,0.0
123,42.419869,-71.193346,244.0,89.6,2.36,108,0,0,,True,0.0
124,42.419861,-71.193307,247.3,89.6,2.84,108,0,0,,True,-1.5
125,42.419855,-71.193264,250.8,89.6,3.16,108,0,0,,True,-1.4
126,42.419849,-71.193222,254.2,89.4,3.36,107,79,312,,True,-2.8
127,42.419847,-71.193175,257.9,89.4,3.46,106,83,305,,True,-2.8
128,42.419849,-71.193133,261.4,89.2,3.48,106,84,284,,True,-1.4
129,42.419851,-71.193087,265.1,89.2,3.56,106,85,285,,True,-2.9
130,42.419851,-71.193046,268.4,89.2,3.52,106,85,293,,True,-1.5
131,42.419853,-71.193009,271.6,89.0,3.48,106,85,282,,True,-1.7
132,42.419866,-71.19298,274.4,89.0,3.3,107,0,0,,True,-1.9
133,42.419884,-71.192965,276.7,89.0,3.06,107,0,0,,True,3.4
134,42.419902,-71.192951,278.9,89.0,2.76,108,0,0,,True,5.1
135,42.41992,-71.19294,280.9,89.0,2.5,108,0,0,,True,6.6
