t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.299142,-71.351823,0.0,72.6,0.0,95,0,0,,False,0.0
1,42.299151,-71.351854,3.9,72.6,0.0,96,0,0,,True,0.0
2,42.299193,-71.351901,8.3,72.6,0.0,96,0,0,,True,-1.8
3,42.299159,-71.351894,8.3,72.6,2.767,96,0,0,,False,-1.8
4,42.299171,-71.351927,11.2,72.4,2.8,95,0,0,,True,-3.2
5,42.299126,-71.351953,15.3,72.4,3.06,96,0,0,,True,-3.2
6,42.299118,-71.351987,17.7,72.4,2.76,96,0,0,,True,-1.8
7,42.299105,-71.352023,20.8,72.2,2.5,96,86,0,,True,-1.9
8,42.299105,-71.352048,22.5,72.2,2.84,96,86,299,,True,0.0
9,42.299117,-71.352095,25.9,72.2,2.94,98,85,258,,True,0.0
10,42.29913,-71.35212,28.9,72.4,2.72,100,85,285,,True,0.0
11,42.299145,-71.352149,31.5,72.2,2.76,101,85,267,,True,0.0
12,42.299161,-71.352175,34.2,72.2,2.68,103,85,267,,True,-1.9
13,42.299178,-71.352185,36.0,72.2,2.7,104,85,250,,True,0.0
14,42.299214,-71.352196,39.5,72.2,2.72,105,84,248,,True,0.0
15,42.299236,-71.352192,42.7,72.2,2.76,106,83,252,,True,0.0
16,42.299265,-71.352192,44.8,72.2,2.66,107,83,263,,True,1.6
17,42.299304,-71.352202,49.0,72.2,2.96,108,83,268,,True,1.6
18,42.299326,-71.352203,51.8,72.4,3.16,109,83,249,,True,0.0
19,42.299361,-71.352208,55.0,72.4,3.1,110,83,249,,True,0.0
20,42.299394,-71.352218,59.0,72.2,3.26,111,83,251,,True,-1.4
21,42.299412,-71.352249,62.2,72.2,3.48,113,83,257,,True,-1.3
22,42.299419,-71.352298,66.0,72.2,3.4,114,83,264,,True,0.0
23,42.299421,-71.352339,70.0,72.2,3.64,115,83,271,,True,0.0
24,42.299416,-71.352386,73.3,72.2,3.66,116,82,288,,True,0.0
25,42.299404,-71.352436,77.8,72.2,3.76,117,82,299,,True,1.3
26,42.299397,-71.352471,81.3,72.2,3.82,117,82,299,,True,2.6
27,42.299386,-71.352519,84.9,72.4,3.78,118,82,298,,True,2.9
28,42.299386,-71.352558,88.7,72.6,3.74,119,82,294,,True,2.7
29,42.299382,-71.3526,91.7,72.6,3.68,119,83,294,,True,1.5
30,42.299378,-71.352648,96.0,72.6,3.64,119,83,294,,True,1.5
31,42.299377,-71.352678,98.6,72.6,3.46,118,83,307,,True,2.9
32,42.299373,-71.352728,102.3,72.8,3.48,119,83,299,,True,5.0
33,42.29937,-71.352758,105.5,73.0,3.36,120,84,328,,True,4.6
34,42.299367,-71.352796,108.0,73.2,3.26,120,84,300,,True,4.9
35,42.299365,-71.352838,111.7,73.2,3.14,121,84,301,,True,4.8
36,42.299367,-71.352872,114.6,73.4,3.2,121,84,304,,True,3.0
37,42.299369,-71.35292,118.1,73.6,3.16,122,84,301,,True,4.8
38,42.299367,-71.352953,121.3,73.6,3.16,123,84,319,,True,3.1
39,42.299365,-71.35299,124.3,73.8,3.26,123,84,315,,True,3.2
40,42.29936,-71.353032,127.5,73.8,3.16,124,83,317,,True,4.9
41,42.299356,-71.353062,130.5,74.0,3.18,124,83,319,,True,3.2
42,42.299349,-71.353106,133.5,74.2,3.08,125,83,315,,True,3.1
43,42.299348,-71.353142,136.8,74.2,3.1,125,83,324,,True,3.1
44,42.299341,-71.353185,140.4,74.2,3.22,126,83,332,,True,1.5
45,42.29934,-71.353228,143.5,74.4,3.2,126,83,343,,True,3.2
46,42.299337,-71.353255,146.5,74.4,3.2,127,83,354,,True,3.3
47,42.299341,-71.353293,149.2,74.6,3.14,127,83,352,,True,0.0
48,42.299344,-71.353332,152.7,74.6,3.18,127,83,347,,True,-1.8
49,42.299349,-71.353361,155.2,74.4,2.96,128,83,339,,True,-5.0
50,42.299355,-71.3534,157.9,74.2,2.88,128,82,331,,True,-5.6
51,42.299369,-71.353433,161.1,74.0,2.92,128,82,325,,True,-5.6
52,42.299392,-71.353454,163.4,74.0,2.84,129,81,319,,True,-3.6
53,42.299418,-71.353471,166.0,73.8,2.66,129,81,315,,True,-1.8
54,42.299445,-71.353471,168.9,73.8,2.74,129,81,308,,True,-3.1
55,42.299477,-71.353462,172.3,73.8,2.88,129,81,296,,True,-1.5
56,42.299509,-71.353448,176.2,73.6,3.02,129,81,287,,True,-4.4
57,42.299528,-71.353433,179.1,73.6,3.14,130,81,283,,True,-4.4
58,42.299565,-71.353414,182.5,73.2,3.3,130,82,282,,True,-4.7
59,42.29959,-71.353409,186.0,73.2,3.42,130,82,280,,True,-5.9
60,42.299618,-71.353402,189.0,73.0,3.34,130,82,280,,True,-2.9
61,42.299653,-71.353401,192.6,72.8,3.28,131,82,280,,True,-4.5
62,42.299677,-71.353411,196.1,72.8,3.4,131,82,277,,True,-2.9
63,42.299706,-71.35342,199.2,72.6,3.34,131,82,278,,True,-1.5
64,42.299741,-71.353435,203.0,72.6,3.4,131,82,275,,True,-2.8
