t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941255,-117.15405,3.7,85.4,0.0,88,0,0,,False,-15.4
1,32.941253,-117.154084,5.4,85.2,1.7,88,0,0,,True,-15.2
2,32.941246,-117.154069,5.4,85.0,0.85,88,0,0,,False,-14.4
3,32.94122,-117.154088,8.9,84.6,1.733,89,0,0,,True,-10.6
4,32.941204,-117.154108,11.6,84.2,1.975,91,0,0,,True,-9.1
5,32.941174,-117.154131,14.8,83.8,2.22,93,0,0,,True,-4.3
6,32.941149,-117.15415,18.6,83.8,2.64,95,0,0,,True,1.4
7,32.941114,-117.154176,22.9,84.0,3.5,96,81,301,,True,5.3
8,32.941088,-117.154196,26.2,84.4,3.46,98,82,350,,True,6.6
9,32.941062,-117.154214,29.9,84.6,3.66,101,82,363,,True,6.8
10,32.941021,-117.154217,33.8,84.8,3.8,104,82,353,,True,5.4
11,32.94099,-117.154225,37.5,85.0,3.78,106,83,353,,True,1.3
12,32.940962,-117.154229,41.1,85.2,3.64,107,83,370,,True,-1.4
13,32.940924,-117.154229,44.8,84.8,3.72,108,82,368,,True,-4.1
14,32.940893,-117.154235,48.3,84.6,3.68,109,82,361,,True,-7.8
15,32.94086,-117.154234,52.2,84.4,3.68,110,82,356,,True,-6.8
16,32.94082,-117.154227,56.4,84.0,3.78,112,80,344,,True,-6.8
17,32.940794,-117.154232,59.6,83.8,3.7,113,80,347,,True,-8.5
18,32.940764,-117.154227,63.0,83.6,3.64,114,80,344,,True,-9.4
19,32.94073,-117.154229,66.4,83.2,3.62,115,80,340,,True,-9.2
20,32.940708,-117.154242,69.2,82.8,3.4,116,80,331,,True,-10.5
21,32.940675,-117.154253,72.7,82.6,3.26,117,80,328,,True,-9.0
22,32.940642,-117.154255,76.3,82.2,3.34,118,80,318,,True,-4.1
23,32.940614,-117.154263,79.8,82.0,3.36,119,81,318,,True,-1.4
24,32.940575,-117.154267,83.7,82.2,3.46,119,81,318,,True,4.0
25,32.940546,-117.15427,87.3,82.4,3.62,120,81,317,,True,5.4
26,32.940515,-117.154269,91.2,82.8,3.7,121,81,320,,True,5.8
27,32.940479,-117.154266,94.7,82.8,3.68,121,81,324,,True,3.3
28,32.940456,-117.154269,97.5,83.0,3.54,122,82,328,,True,-1.7
29,32.940445,-117.154272,99.3,82.8,3.12,123,82,325,,True,-3.6
30,32.940427,-117.154277,100.7,82.8,2.68,124,82,306,,True,-6.6
31,32.94041,-117.15425,102.9,82.6,2.34,123,82,301,,True,-5.8
32,32.940389,-117.154233,105.7,82.4,2.2,124,81,293,,True,-6.2
33,32.940355,-117.154213,109.7,82.2,2.44,124,81,266,,True,-7.2
34,32.940324,-117.154199,113.6,82.0,2.86,125,81,262,,True,-6.9
35,32.940297,-117.154191,116.8,81.6,3.22,125,81,276,,True,-7.1
36,32.940265,-117.154184,120.2,81.4,3.46,126,79,273,,True,-9.1
37,32.940232,-117.15418,123.8,81.2,3.62,126,79,289,,True,-7.4
38,32.940208,-117.154187,126.8,80.8,3.42,127,79,288,,True,-8.6
39,32.940175,-117.15419,130.3,80.6,3.34,127,80,274,,True,-10.5
40,32.940141,-117.154186,134.1,80.2,3.46,128,80,273,,True,-9.9
41,32.940115,-117.154189,137.1,79.8,3.38,128,80,268,,True,-10.7
42,32.940075,-117.154186,141.0,79.4,3.44,129,79,266,,True,-10.9
43,32.940041,-117.154188,145.2,79.0,3.68,130,79,278,,True,-9.2
44,32.940011,-117.154187,148.8,78.6,3.7,130,80,272,,True,-7.9
45,32.939976,-117.154181,152.3,78.4,3.64,130,80,278,,True,-8.6
46,32.939944,-117.154183,156.2,78.2,3.82,131,81,274,,True,-8.2
47,32.939917,-117.154184,159.1,77.8,3.62,131,81,262,,True,-7.7
48,32.939873,-117.154183,163.4,77.4,3.64,132,80,257,,True,-9.3
49,32.939839,-117.154192,167.9,77.2,3.82,132,80,257,,True,-7.5
50,32.939808,-117.154189,171.3,76.8,3.8,132,80,255,,True,-5.2
51,32.939771,-117.154178,175.2,76.6,3.8,132,81,260,,True,-6.0
52,32.939744,-117.154171,178.7,76.6,3.92,133,81,267,,True,-4.5
53,32.939718,-117.154156,181.3,76.4,3.58,133,81,261,,True,-3.2
54,32.939694,-117.15413,184.5,76.2,3.32,133,81,248,,True,-3.2
55,32.939676,-117.15411,187.6,76.2,3.26,134,82,235,,True,0.0
56,32.939654,-117.15408,191.1,76.2,3.18,134,82,233,,True,1.4
57,32.939639,-117.154046,194.8,76.4,3.22,135,82,239,,True,1.4
58,32.939623,-117.154015,198.3,76.4,3.4,135,82,248,,True,1.3
59,32.939608,-117.153969,202.4,76.4,3.58,135,81,263,,True,-1.3
60,32.939597,-117.153938,206.3,76.4,3.74,135,81,270,,True,-1.3
61,32.939581,-117.153903,210.1,76.2,3.8,136,81,290,,True,-1.3
62,32.939559,-117.153863,213.9,76.2,3.82,137,81,290,,True,-2.7
63,32.939542,-117.15384,217.3,76.2,3.8,137,81,290,,True,-2.7
64,32.939521,-117.153805,221.1,76.0,3.74,138,81,294,,True,-4.1
65,32.939508,-117.153761,225.1,75.8,3.76,138,81,283,,True,-5.5
