t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
1,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
2,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
3,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
4,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
5,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,0.0
6,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,-11.1
7,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,-3.8
8,42.498315,-71.223579,0.0,50.0,0.0,,0,0,,False,-3.8
9,42.498315,-71.223579,0.0,49.6,0.0,,0,0,,False,-3.8
10,42.498315,-71.223579,0.0,49.6,0.0,,85,0,,False,-3.8
11,42.498315,-71.223579,3.6,49.6,0.72,,85,313,,True,0.0
12,42.498315,-71.223579,7.1,49.6,1.42,,85,319,,True,1.4
13,42.498315,-71.223579,10.6,49.6,2.12,,85,322,,True,1.5
14,42.498315,-71.223579,14.2,49.8,2.84,,85,330,,True,1.5
15,42.498315,-71.223579,17.3,49.8,3.46,,86,276,,True,1.5
16,42.498315,-71.223579,20.8,49.8,3.44,,86,304,,True,0.0
17,42.498315,-71.223579,24.3,49.8,3.44,,85,304,,True,0.0
18,42.498315,-71.223579,28.0,49.8,3.48,,84,321,,True,0.0
19,42.498315,-71.223579,31.4,49.8,3.44,,83,322,,True,0.0
20,42.498315,-71.223579,34.3,49.8,3.4,,83,254,,True,0.0
21,42.498315,-71.223579,36.7,49.8,3.18,,83,215,,True,0.0
22,42.498315,-71.223579,39.6,49.8,3.06,,83,254,,True,0.0
23,42.498315,-71.223579,42.8,49.8,2.96,,83,286,,True,0.0
24,42.498315,-71.223561,44.2,49.8,2.56,,83,295,,True,0.0
25,42.498314,-71.223543,45.6,49.8,2.26,,82,307,,True,0.0
26,42.498314,-71.223525,47.0,49.8,2.06,,82,289,,True,0.0
27,42.498327,-71.223487,50.6,49.8,2.2,,81,273,,True,0.0
28,42.498331,-71.223445,54.0,49.8,2.24,,81,271,,True,1.4
29,42.498342,-71.223409,57.3,49.8,2.62,,81,250,,True,1.5
30,42.498341,-71.223367,61.0,50.0,3.08,,82,250,,True,1.6
31,42.498342,-71.223328,63.9,50.0,3.38,,82,251,,True,1.6
32,42.498341,-71.223297,66.7,50.0,3.22,,82,256,,True,0.0
33,42.498344,-71.223262,69.8,50.0,3.16,,82,260,,True,0.0
34,42.498347,-71.223223,72.6,50.0,3.06,,82,261,,True,0.0
35,42.498352,-71.223186,76.2,50.0,3.04,,82,261,,True,0.0
36,42.498359,-71.223155,78.6,50.0,2.94,,81,260,,True,0.0
37,42.498363,-71.223126,80.9,50.0,2.84,,82,255,,True,0.0
38,42.498366,-71.223097,83.6,50.0,2.76,,81,254,,True,0.0
39,42.498369,-71.223056,86.6,50.0,2.8,,81,251,,True,1.7
40,42.498371,-71.223023,89.4,50.0,2.64,,81,252,,True,1.7
41,42.498374,-71.222984,92.8,50.2,2.84,,82,258,,True,1.7
42,42.49838,-71.222946,95.7,50.2,2.96,,82,260,,True,1.6
43,42.498385,-71.222911,98.6,50.2,3.0,,82,269,,True,0.0
44,42.498389,-71.222875,101.8,50.2,3.04,,82,272,,True,0.0
45,42.498393,-71.222843,104.5,50.2,3.02,,82,269,,True,0.0
46,42.498397,-71.222815,106.9,50.2,2.82,,82,272,,True,0.0
47,42.498399,-71.222778,109.6,50.2,2.78,,80,270,,True,0.0
48,42.4984,-71.222743,112.2,50.2,2.72,,80,266,,True,0.0
49,42.4984,-71.222704,115.8,50.2,2.8,,80,264,,True,0.0
50,42.4984,-71.22266,119.1,50.2,2.92,,80,265,,True,0.0
51,42.498401,-71.222627,122.0,50.2,3.02,,81,269,,True,0.0
52,42.498401,-71.222589,125.4,50.2,3.16,,81,271,,True,0.0
53,42.498402,-71.222553,128.1,50.2,3.18,,81,273,,True,0.0
54,42.498403,-71.22252,131.0,50.2,3.04,,81,278,,True,0.0
55,42.498403,-71.222481,134.2,50.2,3.02,,81,279,,True,1.7
56,42.498404,-71.222444,137.1,50.2,3.02,,81,277,,True,1.7
57,42.498402,-71.222411,140.0,50.4,2.92,,81,278,,True,0.0
58,42.498398,-71.222373,142.9,50.4,2.96,,81,275,,True,1.6
59,42.498393,-71.222336,145.9,50.2,2.98,,81,274,,True,0.0
60,42.498382,-71.222298,149.4,50.4,3.04,,82,273,,True,0.0
61,42.498372,-71.222256,152.8,50.4,3.14,,82,273,,True,1.4
62,42.498363,-71.222221,156.0,50.4,3.2,,82,276,,True,1.5
63,42.498354,-71.222178,160.0,50.4,3.42,,82,281,,True,1.6
64,42.498347,-71.222145,162.7,50.6,3.36,,83,282,,True,1.5
65,42.498339,-71.222113,165.7,50.6,3.26,,83,284,,True,1.7
66,42.498331,-71.222071,169.1,50.6,3.26,,83,283,,True,0.0
67,42.498326,-71.222037,171.8,50.6,3.16,,82,282,,True,0.0
68,42.498321,-71.222,175.2,50.6,3.04,,82,282,,True,0.0
69,42.498316,-71.221956,178.5,50.6,3.16,,82,282,,True,-1.5
70,42.498311,-71.221919,181.8,50.6,3.22,,82,281,,True,-1.6
71,42.498304,-71.221879,185.2,50.4,3.22,,82,282,,True,-1.5
72,42.498299,-71.221841,188.1,50.4,3.26,,82,282,,True,-3.1
73,42.498291,-71.221803,191.6,50.4,3.28,,83,280,,True,-1.6
74,42.498284,-71.221759,194.9,50.2,3.28,,83,279,,True,-2.9
75,42.498277,-71.221723,198.1,50.2,3.26,,83,279,,True,-3.1
76,42.498269,-71.221683,201.8,50.0,3.32,,83,278,,True,-1.5
77,42.49826,-71.221645,204.7,50.0,3.32,,83,277,,True,-1.5
78,42.498252,-71.221608,208.1,50.0,3.3,,83,277,,True,0.0
79,42.498247,-71.221566,211.6,50.0,3.34,,83,276,,True,-1.5
80,42.498242,-71.221532,214.4,50.0,3.26,,83,276,,True,-1.6
81,42.49824,-71.221496,217.7,49.8,3.18,,83,276,,True,-1.7
82,42.49824,-71.221459,220.6,49.8,3.18,,83,275,,True,0.0
83,42.498241,-71.22143,223.2,49.8,3.02,,83,276,,True,1.9
84,42.498244,-71.221398,225.8,50.0,2.84,,83,276,,True,8.7
85,42.498245,-71.22137,228.2,50.0,2.76,,84,276,,True,10.6
86,42.498244,-71.221346,230.1,50.2,2.48,,84,275,,True,8.7
87,42.498233,-71.221321,232.1,50.8,2.3,,84,277,,True,9.6
88,42.498217,-71.221298,234.5,51.0,2.26,,84,279,,True,9.4
89,42.498198,-71.221273,237.3,51.0,2.3,,84,280,,True,3.5
90,42.498174,-71.221248,240.7,51.2,2.5,,84,281,,True,3.4
91,42.498152,-71.221233,243.6,51.2,2.7,,84,284,,True,3.3
92,42.49813,-71.221218,246.3,51.4,2.84,,82,292,,True,3.5
93,42.498104,-71.221206,249.4,51.4,2.98,,82,295,,True,3.6
94,42.498083,-71.2212,252.0,51.6,2.94,,82,302,,True,3.7
95,42.49806,-71.221188,254.8,51.6,2.82,,82,304,,True,6.3
96,42.49804,-71.221184,257.0,51.8,2.68,,81,303,,True,6.0
97,42.49802,-71.221176,259.3,52.0,2.6,,81,305,,True,13.0
98,42.497996,-71.221164,262.0,52.2,2.52,,81,314,,True,13.9
99,42.497977,-71.221159,264.4,52.6,2.48,,82,326,,True,13.6
100,42.497954,-71.221147,267.1,53.2,2.46,,82,337,,True,13.7
101,42.497931,-71.221139,269.6,53.4,2.52,,82,348,,True,11.5
102,42.49791,-71.221133,272.2,53.6,2.58,,82,356,,True,10.0
103,42.497889,-71.221121,274.8,53.8,2.56,,82,365,,True,8.7
104,42.49787,-71.221112,277.1,54.2,2.54,,83,370,,True,8.8
105,42.497854,-71.221104,279.2,54.4,2.42,,82,375,,True,9.0
106,42.497834,-71.22109,281.1,54.4,2.3,,82,377,,True,6.8
107,42.497815,-71.221077,283.5,54.6,2.26,,81,377,,True,6.6
108,42.497798,-71.22106,285.9,54.8,2.22,,81,374,,True,7.8
109,42.49778,-71.221032,288.8,55.0,2.34,,81,373,,True,7.5
110,42.49777,-71.221003,291.4,55.2,2.44,,81,373,,True,7.1
111,42.497768,-71.220971,294.2,55.4,2.62,,81,374,,True,5.1
112,42.497777,-71.220931,297.2,55.6,2.74,,81,373,,True,3.1
113,42.497785,-71.220893,300.6,55.6,2.94,,80,372,,True,1.5
114,42.497796,-71.220857,304.1,55.6,3.06,,80,373,,True,0.0
115,42.49781,-71.22082,307.4,55.6,3.2,,81,373,,True,1.5
116,42.497821,-71.220786,310.7,55.6,3.3,,81,371,,True,1.5
117,42.497834,-71.220752,313.9,55.8,3.34,,80,367,,True,0.0
118,42.497846,-71.220718,317.1,55.8,3.3,,80,360,,True,0.0
119,42.497856,-71.220686,320.0,55.6,3.18,,80,351,,True,-1.6
120,42.497864,-71.22065,323.0,55.6,3.12,,80,341,,True,-3.3
121,42.497874,-71.220615,326.1,55.6,3.08,,81,329,,True,-1.6
122,42.497884,-71.220582,329.2,55.4,3.06,,81,315,,True,-3.4
123,42.497894,-71.220547,332.3,55.4,3.04,,81,306,,True,-3.5
124,42.497903,-71.220518,334.9,55.2,2.98,,81,300,,True,-3.6
125,42.497913,-71.22049,337.6,55.2,2.92,,81,291,,True,-3.6
126,42.497925,-71.220457,340.2,55.0,2.82,,81,278,,True,-1.7
127,42.497937,-71.220423,343.3,55.0,2.82,,81,270,,True,-1.6
128,42.497948,-71.220385,346.6,55.0,2.86,,81,265,,True,0.0
129,42.497962,-71.220343,350.4,55.0,3.1,,81,262,,True,0.0
130,42.497973,-71.220305,354.0,55.0,3.28,,81,261,,True,1.4
131,42.497983,-71.220269,357.0,55.0,3.36,,81,269,,True,1.5
132,42.497995,-71.22023,360.8,55.2,3.5,,81,271,,True,1.6
133,42.498002,-71.220199,363.8,55.2,3.44,,81,272,,True,1.7
134,42.498009,-71.220166,366.6,55.2,3.24,,81,272,,True,0.0
135,42.498016,-71.220138,369.0,55.2,3.0,,81,269,,True,0.0
136,42.498021,-71.220111,371.1,55.2,2.82,,81,268,,True,0.0
137,42.498031,-71.220072,374.1,55.2,2.66,,81,265,,True,-1.7
138,42.498039,-71.220035,377.3,55.2,2.7,,81,262,,True,-1.6
139,42.498048,-71.219998,380.6,55.0,2.8,,81,261,,True,-1.5
140,42.498056,-71.219955,384.0,55.0,3.0,,81,261,,True,-1.5
141,42.498064,-71.219917,387.5,55.0,3.28,,81,262,,True,0.0
142,42.498074,-71.219875,391.0,55.0,3.38,,81,263,,True,-1.4
143,42.498082,-71.219836,394.5,55.0,3.44,,81,264,,True,-1.5
144,42.498088,-71.219798,397.9,54.8,3.46,,81,265,,True,-1.5
145,42.498094,-71.21976,400.9,54.8,3.38,,81,266,,True,-1.6
146,42.498102,-71.219726,404.0,54.8,3.3,,81,267,,True,0.0
147,42.498112,-71.219692,406.7,54.8,3.14,,81,266,,True,0.0
148,42.498124,-71.219651,410.1,54.8,3.12,,81,265,,True,0.0
149,42.498134,-71.219611,413.7,54.8,3.16,,81,266,,True,0.0
150,42.498143,-71.219576,417.0,54.8,3.22,,81,266,,True,0.0
151,42.498157,-71.21954,420.3,54.8,3.26,,81,270,,True,0.0
152,42.498169,-71.219511,423.3,54.8,3.32,,81,270,,True,0.0
153,42.498182,-71.219477,426.3,54.8,3.24,,81,271,,True,0.0
154,42.498194,-71.219441,429.3,54.8,3.12,,81,271,,True,0.0
155,42.498205,-71.219408,432.2,54.8,3.04,,82,269,,True,0.0
156,42.498215,-71.219374,435.3,54.8,3.0,,82,268,,True,0.0
157,42.498223,-71.21934,438.4,54.8,3.02,,82,268,,True,0.0
158,42.498232,-71.219308,441.3,54.8,3.0,,82,268,,True,-1.7
159,42.498241,-71.219275,444.3,54.8,3.0,,82,267,,True,-1.7
160,42.498251,-71.219243,447.0,54.6,2.96,,82,267,,True,-1.6
161,42.498264,-71.219203,450.3,54.6,3.0,,82,268,,True,-1.6
162,42.498276,-71.219165,453.8,54.6,3.08,,82,268,,True,0.0
163,42.498288,-71.219132,457.1,54.6,3.16,,82,268,,True,0.0
164,42.4983,-71.219092,460.5,54.6,3.24,,82,267,,True,0.0
165,42.498311,-71.219058,463.7,54.6,3.34,,82,269,,True,0.0
166,42.498319,-71.219027,466.5,54.6,3.24,,82,270,,True,0.0
167,42.498328,-71.218992,469.6,54.6,3.16,,82,271,,True,0.0
168,42.498336,-71.218963,472.3,54.6,3.04,,82,272,,True,1.7
169,42.498343,-71.218927,475.0,54.6,2.9,,82,271,,True,1.8
170,42.498353,-71.218891,478.0,54.8,2.86,,81,272,,True,1.7
171,42.49836,-71.218862,480.8,54.8,2.86,,81,272,,True,1.7
172,42.49837,-71.218824,484.0,54.8,2.88,,82,272,,True,0.0
173,42.498378,-71.218792,486.9,54.8,2.92,,82,273,,True,0.0
174,42.498387,-71.218759,489.9,54.8,2.98,,82,273,,True,0.0
175,42.498397,-71.218726,492.7,54.8,2.94,,82,273,,True,1.8
176,42.498407,-71.218695,495.5,54.8,2.94,,82,273,,True,1.7
177,42.498418,-71.218663,498.3,55.0,2.86,,82,274,,True,1.7
178,42.49843,-71.218626,501.4,55.0,2.9,,82,274,,True,1.7
179,42.498439,-71.218592,504.6,55.0,2.94,,82,273,,True,-1.7
180,42.498448,-71.218558,507.4,55.0,2.94,,82,273,,True,-1.7
181,42.498457,-71.218524,510.4,54.8,2.98,,82,273,,True,-1.7
182,42.498468,-71.218492,513.3,54.8,3.0,,82,273,,True,-3.3
183,42.498481,-71.218456,516.7,54.8,3.06,,82,272,,True,-1.7
184,42.498492,-71.218426,519.5,54.6,2.98,,82,272,,True,-3.2
185,42.498505,-71.218393,522.3,54.6,2.98,,82,271,,True,-3.3
186,42.49852,-71.218356,525.9,54.4,3.1,,82,270,,True,-3.2
187,42.498532,-71.218321,528.9,54.4,3.12,,82,268,,True,-4.5
188,42.498547,-71.218283,532.1,54.2,3.08,,82,267,,True,-4.5
189,42.498561,-71.218246,535.6,54.0,3.22,,82,266,,True,-5.8
190,42.498574,-71.218209,539.1,53.8,3.36,,82,265,,True,-4.2
191,42.498586,-71.218165,542.6,53.6,3.34,,82,264,,True,-4.1
192,42.498598,-71.218127,546.3,53.6,3.48,,82,263,,True,-5.6
193,42.498612,-71.218087,550.1,53.4,3.6,,82,263,,True,-4.5
194,42.498623,-71.218052,553.5,53.0,3.58,,82,262,,True,-4.7
195,42.498631,-71.218022,556.0,53.0,3.38,,82,262,,True,-3.3
196,42.498643,-71.217985,559.0,53.0,3.28,,82,261,,True,0.0
197,42.498654,-71.217953,562.1,53.0,3.16,,83,261,,True,0.0
198,42.498667,-71.217922,565.0,53.0,2.98,,83,259,,True,0.0
199,42.498681,-71.217888,568.3,53.0,2.96,,82,256,,True,0.0
200,42.498692,-71.217857,571.2,53.0,3.04,,82,256,,True,0.0
201,42.498702,-71.217822,574.3,53.0,3.06,,81,255,,True,-1.7
202,42.498711,-71.21779,577.1,53.0,3.0,,81,256,,True,-1.7
203,42.498719,-71.217757,580.0,52.8,3.0,,81,253,,True,-1.7
204,42.49873,-71.217719,583.1,52.8,2.96,,81,252,,True,-1.7
205,42.498739,-71.217685,586.3,52.8,3.02,,82,252,,True,0.0
206,42.498747,-71.217653,589.2,52.8,2.98,,82,253,,True,0.0
207,42.498755,-71.217616,592.1,52.8,3.0,,82,253,,True,0.0
208,42.498764,-71.217582,595.2,52.8,3.04,,82,255,,True,0.0
209,42.498773,-71.217546,598.3,52.8,3.04,,82,257,,True,0.0
210,42.498782,-71.21751,601.5,52.8,3.04,,82,258,,True,0.0
211,42.49879,-71.217479,604.2,52.8,3.0,,82,259,,True,0.0
212,42.498799,-71.21744,607.4,52.8,3.06,,82,261,,True,1.7
213,42.498806,-71.217409,610.1,52.8,2.98,,82,264,,True,1.7
214,42.498814,-71.217373,613.1,53.0,2.96,,83,266,,True,1.7
215,42.498824,-71.217338,616.0,53.0,2.9,,83,265,,True,1.6
216,42.498832,-71.217303,619.2,53.0,3.0,,83,266,,True,0.0
217,42.498841,-71.217264,622.5,53.0,3.02,,83,268,,True,0.0
218,42.49885,-71.217228,625.9,53.0,3.16,,83,269,,True,1.6
219,42.498859,-71.217198,628.7,53.0,3.12,,83,269,,True,1.6
220,42.498869,-71.217162,631.8,53.2,3.16,,83,270,,True,1.7
