t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.992447,-117.116216,1.1,244.8,0.0,74,0,0,,False,-3.8
1,32.992468,-117.11619,4.0,244.8,0.0,74,0,0,,True,-2.4
2,32.992475,-117.116172,6.4,244.6,2.65,74,0,0,,True,-3.4
3,32.992489,-117.116143,9.6,244.6,2.833,75,0,0,,True,-5.0
4,32.992507,-117.116109,12.9,244.4,2.95,76,0,0,,True,-4.6
5,32.992515,-117.116082,15.9,244.2,2.96,77,0,0,,True,-6.2
6,32.992535,-117.11605,19.5,244.0,3.1,78,81,299,,True,-6.5
7,32.99255,-117.116024,22.5,243.8,3.22,78,81,307,,True,-6.5
8,32.992563,-117.115999,25.3,243.6,3.14,78,81,303,,True,-5.2
9,32.992575,-117.115968,28.3,243.4,3.08,79,81,286,,True,-5.4
10,32.992578,-117.115942,31.0,243.4,3.02,80,82,267,,True,-5.0
11,32.992582,-117.115915,33.7,243.2,2.84,81,82,264,,True,-5.0
12,32.99259,-117.115873,37.4,243.0,2.98,81,82,250,,True,-8.2
13,32.992598,-117.115845,40.3,242.8,3.0,82,81,247,,True,-7.9
14,32.992609,-117.115817,43.2,242.4,2.98,83,81,265,,True,-9.8
15,32.992626,-117.115782,46.4,242.2,3.08,84,81,263,,True,-9.7
16,32.99264,-117.115758,49.7,241.8,3.2,85,80,260,,True,-9.4
17,32.992662,-117.115732,52.7,241.6,3.06,86,80,255,,True,-9.5
18,32.99268,-117.115702,56.0,241.2,3.14,87,81,241,,True,-10.2
19,32.992685,-117.115678,59.0,241.0,3.16,88,81,237,,True,-10.5
20,32.992681,-117.115644,61.5,240.6,3.02,90,81,232,,True,-7.2
21,32.992681,-117.115617,64.1,240.4,2.88,91,83,226,,True,-5.6
22,32.992682,-117.115588,67.1,240.4,2.88,92,83,217,,True,-1.9
23,32.992681,-117.115554,69.8,240.4,2.76,94,83,213,,True,0.0
24,32.992676,-117.115531,72.2,240.4,2.64,95,82,213,,True,0.0
25,32.992675,-117.115502,75.1,240.4,2.72,97,82,213,,True,0.0
26,32.992678,-117.115464,78.1,240.4,2.8,99,82,213,,True,0.0
27,32.992677,-117.115441,80.6,240.4,2.7,100,82,215,,True,0.0
28,32.992681,-117.115405,83.9,240.4,2.82,101,81,218,,True,0.0
29,32.992683,-117.115369,87.1,240.4,2.98,102,80,222,,True,0.0
30,32.992679,-117.115343,89.9,240.4,2.96,103,80,225,,True,-1.7
31,32.99268,-117.115308,93.0,240.4,2.98,104,80,228,,True,-3.6
32,32.99268,-117.11528,95.6,240.2,3.0,105,81,229,,True,-5.5
33,32.992677,-117.115257,98.1,240.0,2.84,106,81,226,,True,-7.1
34,32.992675,-117.115222,100.9,239.8,2.76,107,80,225,,True,-6.7
35,32.992675,-117.115185,104.2,239.6,2.86,108,80,224,,True,-6.0
36,32.992667,-117.115155,107.6,239.4,2.92,109,80,224,,True,-4.5
37,32.992659,-117.11511,111.5,239.2,3.18,110,80,227,,True,-4.7
38,32.992663,-117.115086,114.1,239.2,3.2,111,80,231,,True,-3.3
39,32.992662,-117.115051,117.0,239.0,3.22,113,80,240,,True,-1.9
40,32.992662,-117.115023,119.8,239.0,3.12,114,80,242,,True,-3.5
41,32.992656,-117.115,122.3,239.0,2.94,115,82,238,,True,-1.8
42,32.992652,-117.114962,125.4,238.8,2.78,116,83,236,,True,-1.7
43,32.992653,-117.114933,127.9,238.8,2.76,118,83,235,,True,-1.7
44,32.992645,-117.114902,131.4,238.8,2.88,119,83,236,,True,1.7
