t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941249,-117.154047,0.0,85.8,0.0,81,0,0,,False,-9.5
1,32.941243,-117.154075,2.3,85.6,0.0,81,0,0,,True,-8.6
2,32.94123,-117.154076,4.1,85.4,2.05,82,0,0,,True,-6.6
3,32.94121,-117.15409,6.3,85.2,2.1,81,0,0,,True,-3.1
4,32.94119,-117.15411,9.3,85.0,2.325,81,0,0,,True,-1.8
5,32.941171,-117.154128,12.1,85.0,2.42,81,0,0,,True,1.8
6,32.94114,-117.154141,15.3,85.2,2.6,82,0,0,,True,3.6
7,32.941126,-117.154159,17.6,85.4,2.7,83,80,0,,True,5.6
8,32.941102,-117.154164,20.3,85.4,2.8,84,82,286,,True,5.6
9,32.941076,-117.154168,22.9,85.6,2.72,85,83,272,,True,3.4
10,32.94105,-117.154172,26.1,85.8,2.8,86,83,252,,True,3.4
11,32.941019,-117.154156,29.3,85.8,2.8,88,82,260,,True,0.0
12,32.940997,-117.15416,31.9,85.8,2.86,88,82,278,,True,-1.6
13,32.940969,-117.154161,35.1,85.6,2.96,90,82,284,,True,-3.3
14,32.940934,-117.154169,38.6,85.6,3.14,91,83,293,,True,-4.6
15,32.940914,-117.154179,41.5,85.4,3.08,93,83,289,,True,-4.7
16,32.940883,-117.154188,44.9,85.2,3.12,95,82,297,,True,-8.1
17,32.940855,-117.154194,47.8,85.0,3.18,97,82,301,,True,-7.6
18,32.94083,-117.154194,51.0,84.6,3.18,97,82,292,,True,-9.2
19,32.940793,-117.154196,54.6,84.4,3.2,97,83,290,,True,-8.9
20,32.940766,-117.154204,58.0,84.0,3.3,97,83,282,,True,-7.4
21,32.940735,-117.15421,61.3,83.8,3.28,97,84,285,,True,-6.4
22,32.94071,-117.154215,64.5,83.6,3.34,97,84,288,,True,-3.4
23,32.940689,-117.154219,67.1,83.6,3.22,98,84,288,,True,-1.7
24,32.940658,-117.154225,69.8,83.6,3.04,99,83,286,,True,0.0
25,32.940637,-117.154233,72.8,83.6,2.96,99,83,278,,True,0.0
26,32.94061,-117.154238,75.4,83.6,2.82,99,83,275,,True,0.0
27,32.94058,-117.154231,79.0,83.6,2.9,99,83,273,,True,1.6
28,32.940555,-117.154232,81.9,83.6,2.96,100,83,273,,True,1.6
29,32.940524,-117.154228,85.1,83.8,3.06,101,83,272,,True,1.7
30,32.940499,-117.154225,88.2,83.8,3.08,102,83,273,,True,1.6
31,32.940474,-117.154223,90.9,83.8,3.1,104,83,271,,True,-1.7
32,32.940442,-117.154221,94.1,83.8,3.02,108,83,271,,True,-3.5
33,32.940422,-117.154223,96.7,83.6,2.96,110,82,267,,True,-3.3
34,32.940391,-117.154221,99.5,83.4,2.88,111,82,259,,True,-5.0
35,32.94036,-117.154214,103.1,83.4,2.98,112,82,255,,True,-4.8
36,32.940335,-117.15421,106.2,83.2,3.06,113,82,252,,True,-4.9
37,32.940305,-117.154207,109.2,83.0,3.02,114,82,253,,True,-7.2
38,32.940287,-117.154203,111.8,82.8,3.02,116,83,252,,True,-5.5
39,32.940266,-117.1542,114.2,82.6,2.94,116,83,251,,True,-5.8
40,32.940235,-117.154203,117.2,82.6,2.82,117,83,245,,True,-5.6
41,32.940217,-117.1542,119.6,82.4,2.68,118,82,240,,True,-6.9
42,32.940191,-117.154196,122.5,82.2,2.66,118,82,238,,True,-10.5
43,32.940158,-117.154193,125.8,81.8,2.8,119,81,233,,True,-9.7
44,32.940133,-117.154198,128.6,81.4,2.88,119,81,230,,True,-10.8
