t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941384,-117.154082,0.0,85.2,0.0,73,,,,False,1.9
1,32.941352,-117.154085,2.2,85.2,0.0,73,,,,True,0.0
4,32.941289,-117.154097,10.3,85.4,2.575,73,,,,True,-2.0
5,32.941273,-117.154112,12.6,85.2,2.52,73,,,,True,-0.6
8,32.941226,-117.154172,19.7,84.8,2.5,71,,,,True,-1.9
13,32.941104,-117.154229,34.7,85.0,2.763,71,,,,True,-1.6
15,32.941034,-117.154227,42.7,84.8,3.286,74,,,,True,-2.5
17,32.940962,-117.15422,51.2,84.6,3.5,77,,,,True,-7.0
19,32.940884,-117.154217,59.4,83.8,4.117,79,,,,True,-6.5
22,32.940771,-117.154212,71.7,82.4,4.1,80,,,,True,-4.5
25,32.940704,-117.154221,79.5,82.4,3.35,79,,,,True,-3.5
30,32.940683,-117.154229,82.0,83.2,1.287,79,,,,True,-2.6
34,32.940577,-117.154236,93.8,82.6,1.589,81,,,,True,-4.0
40,32.940373,-117.154205,117.2,81.2,3.52,84,,,,True,-6.2
44,32.940172,-117.154194,139.4,80.0,4.56,86,,,,True,-6.9
45,32.940106,-117.154193,146.6,79.2,5.88,88,,,,True,-8.9
46,32.940038,-117.154192,154.5,78.4,6.217,89,,,,True,-12.8
47,32.93997,-117.154197,162.1,77.2,6.414,89,,,,True,-12.7
48,32.939902,-117.154196,169.1,76.2,6.487,90,,,,True,-11.4
49,32.939832,-117.154177,176.6,75.4,7.44,90,,,,True,-6.7
50,32.939769,-117.154139,184.2,75.0,7.52,90,,,,True,-2.2
51,32.939717,-117.154089,191.9,75.2,7.48,90,,,,True,-1.7
53,32.939646,-117.153966,205.7,75.4,7.32,90,,,,True,-1.0
58,32.939503,-117.153675,236.9,74.4,6.429,89,,,,True,-1.8
59,32.939467,-117.153633,242.0,74.4,6.05,88,,,,True,-3.1
60,32.939422,-117.153609,247.2,74.2,5.929,88,,,,True,-3.7
62,32.939336,-117.153622,256.6,73.8,5.656,89,,,,True,-3.4
66,32.939208,-117.153755,275.2,73.0,4.667,88,,,,True,-2.0
69,32.939124,-117.153868,289.5,72.8,4.7,86,,,,True,-1.8
73,32.939042,-117.15404,307.8,73.0,4.657,85,,,,True,-1.4
79,32.938998,-117.154308,333.5,72.4,4.4,85,,,,True,-1.5
86,32.93894,-117.154624,363.8,71.8,4.308,86,,,,True,-1.4
91,32.938895,-117.154826,383.5,71.4,4.167,85,,,,True,-0.7
95,32.938878,-117.15491,391.9,71.8,3.122,86,,,,True,-1.4
96,32.938865,-117.154924,393.8,72.0,2.06,87,,,,True,-3.5
100,32.938812,-117.155053,406.7,71.2,2.96,87,,,,True,-9.4
101,32.938807,-117.155109,411.7,70.4,3.58,86,,,,True,-10.0
103,32.938826,-117.155242,423.7,68.8,4.271,87,,,,True,-10.4
104,32.938806,-117.155303,429.7,68.4,4.487,88,,,,True,-7.5
105,32.938775,-117.155352,435.5,68.2,5.76,88,,,,True,0.0
106,32.938741,-117.155393,441.0,68.2,5.86,88,,,,True,0.6
109,32.938633,-117.155504,456.9,68.8,5.44,91,,,,True,0.6
110,32.938583,-117.155521,462.5,68.6,5.4,92,,,,True,-2.0
111,32.938533,-117.155549,468.6,68.4,5.52,93,,,,True,-6.8
113,32.938452,-117.155632,480.3,67.4,5.614,95,,,,True,-7.4
114,32.938428,-117.15569,486.4,66.8,5.9,95,,,,True,-8.7
115,32.938404,-117.155749,492.4,66.4,5.98,97,,,,True,-6.6
116,32.938375,-117.155804,498.5,65.8,5.98,97,,,,True,-5.3
118,32.938331,-117.155928,510.7,65.4,6.08,97,,,,True,-5.4
119,32.938293,-117.155974,516.5,65.2,6.02,98,,,,True,-4.4
120,32.938245,-117.156002,522.0,64.8,5.92,98,,,,True,-4.7
122,32.938141,-117.15605,534.5,64.2,6.0,99,,,,True,-4.7
123,32.938094,-117.156084,540.5,64.0,5.96,99,,,,True,-2.8
124,32.938043,-117.156108,546.5,63.8,6.0,99,,,,True,-1.2
126,32.937936,-117.156111,558.0,63.8,6.0,100,,,,True,-0.6
128,32.937858,-117.156183,568.8,63.8,5.66,100,,,,True,-0.9
129,32.93784,-117.156241,574.6,63.8,5.62,100,,,,True,-1.4
135,32.937716,-117.156598,610.7,63.2,5.986,97,,,,True,-1.9
