t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941326,-117.154053,0.0,85.2,0.0,85,,,,False,0.0
1,32.941329,-117.154054,0.0,85.2,0.0,85,,,,False,10.3
3,32.941326,-117.154022,2.3,85.2,0.767,86,,,,True,-1.8
4,32.941311,-117.154015,3.9,85.6,0.975,86,,,,True,-1.4
7,32.941249,-117.154037,11.0,85.0,1.833,85,,,,True,0.0
8,32.941237,-117.15407,14.3,85.0,2.4,85,,,,True,0.0
13,32.941151,-117.154205,30.7,85.2,3.283,86,,,,True,-1.8
17,32.941021,-117.15419,45.5,85.6,3.467,87,,,,True,-2.4
21,32.940823,-117.154156,67.2,84.0,4.563,87,,,,True,-4.4
22,32.940778,-117.154156,72.5,83.6,5.4,88,,,,True,-6.4
24,32.9407,-117.154161,81.0,83.0,5.071,88,,,,True,-3.3
25,32.940653,-117.154148,86.2,83.0,5.088,86,,,,True,-1.7
26,32.94061,-117.15412,91.7,83.2,4.9,86,,,,True,1.5
27,32.940571,-117.154089,96.6,83.2,4.82,86,,,,True,0.8
29,32.940508,-117.153997,107.3,83.4,5.26,88,,,,True,0.0
30,32.940494,-117.153942,112.8,83.2,5.32,89,,,,True,-1.2
31,32.940485,-117.153883,118.4,83.2,5.34,90,,,,True,-2.8
33,32.940479,-117.153759,129.6,82.8,5.5,93,,,,True,-2.9
34,32.940478,-117.153693,135.5,82.6,5.64,96,,,,True,-3.8
35,32.940478,-117.153648,140.3,82.4,5.5,98,,,,True,-1.2
38,32.94047,-117.153598,145.0,82.2,3.08,99,,,,True,-2.7
44,32.940472,-117.153582,146.8,82.6,0.722,100,,,,True,-2.4
47,32.940475,-117.153462,157.9,82.0,1.433,99,,,,True,-2.5
53,32.940464,-117.153116,190.3,81.2,4.833,100,,,,True,-3.0
55,32.940462,-117.152989,202.0,80.8,5.512,100,,,,True,-2.6
60,32.940447,-117.152641,234.4,80.0,6.3,102,,,,True,-2.5
61,32.940445,-117.152565,241.6,79.8,6.6,102,,,,True,-2.4
66,32.94042,-117.152176,278.1,79.0,7.283,105,,,,True,-2.4
67,32.940412,-117.152097,285.5,78.8,7.317,106,,,,True,-2.4
68,32.940404,-117.15202,292.8,78.6,7.314,108,,,,True,-1.6
69,32.940401,-117.151945,299.8,78.4,7.275,111,,,,True,-1.4
73,32.940386,-117.151648,327.8,78.2,7.0,114,,,,True,-0.5
75,32.940377,-117.151497,341.8,78.0,7.0,114,,,,True,-0.2
84,32.940346,-117.150816,405.7,78.0,7.082,113,,,,True,0.0
85,32.940342,-117.150743,412.6,78.2,7.08,113,,,,True,-0.2
91,32.940313,-117.150381,446.6,78.2,5.843,113,,,,True,-0.3
94,32.940293,-117.150232,460.5,77.8,5.322,112,,,,True,-0.3
96,32.940282,-117.150165,467.2,77.8,4.12,113,,,,True,-1.2
98,32.9403,-117.150108,472.7,78.0,3.729,109,,,,True,-0.6
100,32.940347,-117.150059,479.3,77.8,3.133,107,,,,True,-0.6
104,32.940473,-117.149936,496.8,77.6,4.017,107,,,,True,-1.3
105,32.940478,-117.149897,500.5,77.6,4.24,110,,,,True,-0.7
106,32.940472,-117.149866,503.4,77.6,4.017,111,,,,True,0.0
108,32.94045,-117.149815,509.1,77.6,3.725,108,,,,True,0.0
109,32.940444,-117.149792,511.5,77.6,2.94,106,,,,True,0.0
111,32.940436,-117.14973,516.9,77.6,2.7,103,,,,True,-0.6
113,32.940416,-117.149641,525.2,77.6,3.22,103,,,,True,-1.2
116,32.940381,-117.149481,539.9,77.4,4.6,106,,,,True,-1.7
117,32.940395,-117.149417,545.6,77.2,4.783,106,,,,True,-2.5
118,32.940423,-117.149353,551.7,77.0,5.3,106,,,,True,-4.7
119,32.940461,-117.149312,557.8,76.8,5.433,107,,,,True,-4.0
121,32.940568,-117.149276,569.7,76.0,5.96,107,,,,True,-2.5
124,32.940708,-117.149274,585.5,75.6,5.54,108,,,,True,-2.1
127,32.940842,-117.149264,600.1,75.8,5.067,108,,,,True,-1.4
130,32.940977,-117.149252,615.0,75.6,4.917,107,,,,True,0.3
132,32.941065,-117.149263,625.2,75.2,5.02,108,,,,True,1.9
137,32.941246,-117.149288,645.6,75.8,4.371,109,,,,True,3.4
139,32.941312,-117.149293,652.5,76.8,3.9,110,,,,True,4.8
141,32.941394,-117.149305,662.0,77.2,4.089,111,,,,True,1.1
142,32.941435,-117.149304,666.7,77.2,4.22,111,,,,True,-1.0
149,32.941755,-117.149335,702.1,76.4,5.013,113,,,,True,-1.8
151,32.941844,-117.149366,712.7,76.2,5.111,116,,,,True,-1.8
152,32.941889,-117.149379,717.7,76.2,5.1,120,,,,True,-0.8
153,32.941931,-117.149393,722.5,76.2,5.073,129,,,,True,1.6
154,32.941973,-117.149406,727.2,76.2,5.02,132,,,,True,2.5
156,32.94206,-117.149428,737.1,76.6,4.88,135,,,,True,1.8
157,32.942102,-117.149436,741.8,76.8,4.82,136,,,,True,1.5
165,32.942418,-117.149546,778.6,77.2,4.611,137,,,,True,0.6
168,32.94255,-117.149576,793.2,77.2,4.673,138,,,,True,0.3
170,32.942646,-117.149559,804.0,77.0,5.08,139,,,,True,-0.4
173,32.942782,-117.149513,820.0,77.0,5.36,140,,,,True,-0.5
174,32.942825,-117.14952,824.8,77.0,5.267,142,,,,True,0.6
175,32.942869,-117.149508,829.7,77.0,5.14,144,,,,True,0.8
177,32.94295,-117.149487,839.0,77.2,5.0,147,,,,True,3.1
