t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.420453,-71.197128,0.0,83.6,0.0,,0,0,,False,6.3
1,42.420462,-71.197126,0.0,83.6,0.0,,0,0,,False,3.3
2,42.420467,-71.197126,0.0,83.8,0.0,,0,0,,False,2.1
3,42.420469,-71.197137,0.3,83.8,0.1,,0,0,,False,0.0
4,42.420472,-71.197174,3.2,83.8,0.8,,93,0,,True,0.0
5,42.420479,-71.197207,6.0,83.8,1.2,,93,0,,True,-1.5
6,42.420485,-71.197245,9.4,83.8,1.88,,86,0,,True,-1.5
7,42.420488,-71.19729,13.3,83.6,2.66,,83,156,,True,-3.0
8,42.420493,-71.197328,16.5,83.6,3.24,,83,188,,True,-3.2
9,42.4205,-71.197363,19.5,83.4,3.26,,83,281,,True,-1.8
10,42.420507,-71.19739,21.9,83.4,3.18,,83,287,,True,-1.9
11,42.420516,-71.19742,24.6,83.4,3.04,,86,284,,True,1.5
12,42.42052,-71.197449,27.1,83.4,2.76,,86,271,,True,1.9
13,42.420527,-71.197478,29.4,83.6,2.58,,85,246,,True,0.0
14,42.420534,-71.197516,32.5,83.6,2.6,,85,248,,True,0.0
15,42.420544,-71.197558,36.4,83.4,2.9,,85,248,,True,-1.6
16,42.420551,-71.19759,39.4,83.4,2.96,,85,254,,True,-1.7
17,42.420553,-71.197623,42.0,83.4,2.98,,83,270,,True,0.0
18,42.420556,-71.197654,44.5,83.4,3.02,,83,273,,True,0.0
19,42.420559,-71.197687,47.2,83.4,2.94,,83,257,,True,1.8
20,42.420568,-71.197725,50.3,83.4,2.78,,83,251,,True,3.6
21,42.420579,-71.197752,53.1,83.6,2.74,,86,252,,True,7.5
22,42.420594,-71.197775,55.5,83.8,2.7,,86,250,,True,8.1
23,42.420608,-71.197796,57.8,84.2,2.66,,84,252,,True,6.5
24,42.420615,-71.197818,59.9,84.2,2.54,,84,254,,True,6.4
25,42.420616,-71.197856,62.7,84.4,2.48,,84,255,,True,3.9
26,42.420612,-71.197885,65.4,84.4,2.46,,83,256,,True,4.0
27,42.420607,-71.197912,68.0,84.6,2.5,,83,261,,True,5.9
28,42.420602,-71.19794,70.0,84.6,2.44,,83,265,,True,6.2
29,42.420602,-71.197974,72.9,85.0,2.6,,83,268,,True,5.8
30,42.420604,-71.198005,75.3,85.0,2.52,,83,270,,True,7.4
31,42.420612,-71.198038,78.3,85.2,2.58,,83,273,,True,4.0
32,42.420621,-71.198064,80.8,85.4,2.56,,81,275,,True,3.2
33,42.420634,-71.198086,82.9,85.4,2.58,,80,282,,True,1.6
34,42.420652,-71.198104,85.2,85.4,2.46,,80,286,,True,0.0
35,42.420674,-71.198106,87.7,85.4,2.48,,80,281,,True,0.0
36,42.420698,-71.198097,90.9,85.4,2.52,,81,276,,True,-1.8
37,42.42072,-71.198079,94.1,85.4,2.66,,81,275,,True,-1.8
38,42.420735,-71.198065,96.1,85.2,2.64,,81,281,,True,0.0
39,42.420753,-71.198047,98.7,85.2,2.7,,82,283,,True,0.0
40,42.42077,-71.198016,101.9,85.4,2.84,,83,285,,True,1.7
41,42.420787,-71.197987,105.2,85.4,2.86,,83,282,,True,1.6
42,42.42081,-71.197967,108.0,85.4,2.78,,83,277,,True,0.0
43,42.420832,-71.197949,111.1,85.4,3.0,,83,277,,True,0.0
44,42.420854,-71.197938,113.7,85.4,3.0,,83,270,,True,0.0
45,42.420871,-71.197928,115.6,85.4,2.74,,82,266,,True,0.0
46,42.420893,-71.197913,118.3,85.4,2.62,,82,263,,True,0.0
47,42.420914,-71.1979,121.1,85.4,2.62,,82,259,,True,0.0
48,42.420934,-71.197886,123.7,85.4,2.52,,82,263,,True,1.8
49,42.420951,-71.197861,126.4,85.4,2.54,,84,269,,True,3.7
50,42.420964,-71.197835,129.2,85.6,2.72,,84,269,,True,3.6
51,42.420977,-71.197805,131.9,85.8,2.72,,84,271,,True,3.6
52,42.42099,-71.197774,134.8,85.8,2.74,,83,269,,True,1.8
53,42.421005,-71.197748,137.6,85.8,2.78,,81,265,,True,0.0
54,42.421017,-71.197717,140.2,85.8,2.76,,81,264,,True,0.0
55,42.421033,-71.197685,143.4,85.8,2.84,,81,262,,True,0.0
56,42.421052,-71.197657,146.6,85.8,2.94,,81,261,,True,0.0
57,42.421073,-71.197634,149.5,85.8,2.94,,82,262,,True,0.0
58,42.421091,-71.197618,151.8,85.8,2.84,,82,259,,True,0.0
59,42.421111,-71.197598,154.8,85.8,2.92,,82,257,,True,0.0
60,42.421132,-71.197581,157.2,85.8,2.76,,82,257,,True,0.0
61,42.421153,-71.197572,159.3,85.8,2.54,,82,255,,True,0.0
62,42.421178,-71.197563,162.1,85.8,2.52,,83,254,,True,0.0
63,42.421201,-71.197554,165.1,85.8,2.66,,83,251,,True,0.0
64,42.42122,-71.197543,167.5,85.8,2.54,,83,251,,True,1.9
65,42.42124,-71.197528,169.8,85.8,2.52,,82,252,,True,3.3
66,42.421259,-71.197513,172.4,86.0,2.62,,82,255,,True,5.0
67,42.421275,-71.197495,174.9,86.0,2.56,,82,256,,True,8.6
68,42.421294,-71.19748,177.3,86.2,2.44,,83,259,,True,11.1
69,42.42131,-71.197472,179.5,86.4,2.4,,83,261,,True,11.8
70,42.421327,-71.197463,181.4,86.8,2.32,,82,264,,True,13.9
71,42.421344,-71.197454,183.2,87.2,2.16,,81,269,,True,15.5
72,42.421361,-71.197448,185.1,87.2,2.04,,80,273,,True,10.7
73,42.421383,-71.197441,187.4,87.6,2.02,,80,285,,True,6.7
74,42.421404,-71.19743,189.8,88.0,2.06,,81,290,,True,7.9
75,42.421425,-71.19742,192.6,88.0,2.24,,82,294,,True,3.7
76,42.421446,-71.197405,195.2,88.0,2.4,,82,295,,True,0.0
77,42.421467,-71.19739,198.2,88.0,2.62,,83,294,,True,-1.9
78,42.421485,-71.197378,200.6,88.0,2.64,,83,294,,True,-2.0
