t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.938925,-117.168661,0.0,85.2,0.0,84,0,,,False,-13.6
1,32.938923,-117.168672,0.8,85.2,0.8,85,0,,,True,-12.9
4,32.938929,-117.168702,4.0,85.0,1.0,89,0,,,True,-12.4
7,32.938937,-117.16872,5.9,84.4,0.85,90,51,,,True,-13.3
12,32.938953,-117.168753,9.3,84.0,0.663,89,51,,,True,-18.0
14,32.938958,-117.168772,11.3,83.8,0.771,88,51,,,True,-15.4
16,32.938959,-117.168786,12.3,83.6,0.711,85,47,,,True,-11.9
17,32.938962,-117.168793,12.9,83.4,0.72,82,47,,,True,-11.9
21,32.938952,-117.16882,15.7,83.2,0.68,80,47,,,True,-14.4
29,32.938948,-117.168857,19.3,82.8,0.533,80,0,,,True,-13.9
30,32.938949,-117.168861,19.7,82.8,0.444,80,0,,,True,-15.1
33,32.938949,-117.168874,20.9,82.4,0.433,84,48,,,True,-14.8
35,32.938952,-117.168889,22.4,82.2,0.54,87,53,,,True,-18.3
37,32.938951,-117.168894,22.8,82.0,0.443,89,53,,,False,-19.0
38,32.93895,-117.168902,23.5,81.8,0.52,89,53,,,True,-18.1
41,32.938944,-117.168933,26.5,81.6,0.683,92,53,,,True,-17.6
46,32.938943,-117.168975,30.2,80.8,0.837,92,53,,,True,-16.9
53,32.938917,-117.169027,36.4,79.6,0.825,92,56,,,True,-14.4
55,32.938912,-117.169041,37.7,79.4,0.833,91,56,,,True,-10.3
63,32.93885,-117.169094,46.0,78.8,0.96,89,51,,,True,-7.9
70,32.938807,-117.1691,51.6,78.6,0.927,86,0,,,True,-8.6
74,32.938809,-117.169095,51.6,78.4,0.509,81,0,,,False,-5.1
77,32.938809,-117.169095,51.6,78.2,0.0,78,0,,,False,-4.3
84,32.938801,-117.169101,52.7,78.2,0.11,77,0,,,False,-2.9
90,32.938758,-117.169125,57.7,78.2,0.469,75,0,,,True,-2.1
97,32.938693,-117.169151,65.5,78.0,0.985,75,52,,,True,-3.7
103,32.93865,-117.169153,70.6,77.8,0.992,76,50,,,True,-5.0
108,32.938613,-117.169155,74.5,77.4,0.818,76,50,,,True,-7.5
114,32.938586,-117.169167,77.6,77.2,0.636,76,43,,,True,-4.3
120,32.938557,-117.169167,81.6,76.8,0.592,77,0,,,True,-3.8
128,32.938582,-117.169178,84.6,77.2,0.5,78,0,,,True,-3.9
131,32.938581,-117.169177,84.9,77.0,0.3,81,0,,,False,-3.0
136,32.938579,-117.169178,85.7,76.8,0.138,80,0,,,False,-8.1
142,32.938566,-117.16918,87.8,76.8,0.264,78,0,,,True,-13.4
146,32.938561,-117.169183,88.2,76.6,0.25,75,0,,,False,-11.1
149,32.938539,-117.169187,90.7,76.4,0.414,75,0,,,True,-13.6
159,32.938488,-117.169194,96.5,75.6,0.638,75,0,,,True,-13.0
167,32.938463,-117.169209,99.6,75.2,0.494,74,0,,,True,-15.6
168,32.938455,-117.169212,100.5,75.0,0.444,73,0,,,True,-17.3
174,32.938409,-117.169238,106.1,74.0,0.929,73,50,,,True,-18.5
176,32.938406,-117.169241,106.9,73.8,0.8,72,48,,,True,-16.4
181,32.938376,-117.169265,110.4,73.2,0.614,72,51,,,True,-9.4
184,32.938359,-117.169279,112.7,73.0,0.725,72,53,,,True,-7.1
189,32.938342,-117.169314,116.7,73.0,0.787,73,53,,,True,-4.5
195,32.938317,-117.169381,123.9,72.6,1.018,75,50,,,True,-3.3
199,32.938294,-117.169421,128.2,72.4,1.15,78,50,,,True,-1.8
202,32.938279,-117.169442,130.9,72.4,1.0,77,53,,,True,1.6
209,32.938214,-117.169484,138.8,72.6,1.06,77,53,,,True,2.8
218,32.938129,-117.169501,148.6,73.0,1.106,77,52,,,True,3.6
225,32.938049,-117.169512,157.0,73.2,1.137,80,50,,,True,3.5
226,32.938038,-117.169513,158.4,73.4,1.225,80,50,,,True,3.1
232,32.938013,-117.169501,161.4,73.4,0.629,83,0,,,True,1.0
233,32.938013,-117.1695,161.7,73.4,0.471,83,0,,,False,0.0
239,32.937978,-117.169505,165.2,73.6,0.543,81,0,,,True,0.0
246,32.93788,-117.169473,176.1,73.4,1.108,80,78,,,True,-0.9
250,32.93783,-117.169458,182.3,73.4,1.555,83,78,,,True,-3.0
252,32.937817,-117.169454,183.9,73.2,1.3,87,78,,,True,-3.7
254,32.937803,-117.169449,185.2,73.0,1.137,90,78,,,True,-4.8
256,32.937788,-117.169445,187.0,73.0,0.783,93,0,,,True,-3.7
259,32.937769,-117.169438,189.4,72.8,0.84,94,42,,,True,0.0
265,32.937719,-117.169429,194.7,72.8,0.856,92,51,,,True,-1.0
