t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.959508,-117.186185,0.7,78.2,0.0,110,71,,,False,0.0
2,32.959525,-117.186156,3.1,78.2,1.2,110,48,,,True,0.0
4,32.959519,-117.186149,3.1,78.2,0.6,114,48,,,False,0.0
8,32.959489,-117.186167,6.3,78.2,0.533,115,0,,,True,1.0
9,32.959485,-117.186189,8.1,78.2,1.0,116,0,,,True,1.0
11,32.959479,-117.186199,9.2,78.2,0.871,118,0,,,True,2.1
13,32.95949,-117.186189,10.9,78.3,0.92,118,72,,,True,2.0
15,32.959512,-117.186185,13.2,78.3,0.85,118,70,,,True,0.8
17,32.959537,-117.18618,15.8,78.4,1.1,115,70,,,True,0.9
19,32.959538,-117.186179,16.1,78.4,0.867,112,0,,,False,1.2
22,32.95955,-117.186177,16.1,78.4,0.06,109,0,,,False,0.0
25,32.95955,-117.186177,16.1,78.4,0.0,109,0,,,False,0.0
29,32.959523,-117.186192,19.2,78.3,0.443,109,0,,,True,0.0
35,32.959531,-117.186179,19.2,78.4,0.31,107,0,,,False,0.0
39,32.959515,-117.186181,22.2,78.3,0.3,108,0,,,True,1.0
42,32.959537,-117.186192,25.1,78.3,0.843,113,77,,,True,0.0
44,32.959548,-117.186168,26.6,78.4,0.88,113,77,,,True,0.0
46,32.959532,-117.186143,29.6,78.4,1.057,113,77,,,True,-1.1
49,32.959493,-117.186144,34.0,78.3,1.48,112,0,,,True,0.0
50,32.959489,-117.186149,34.2,78.2,1.267,112,0,,,False,0.0
53,32.959487,-117.186145,34.5,78.2,0.7,110,0,,,False,1.5
57,32.959517,-117.186167,38.2,78.3,0.571,108,0,,,True,0.0
60,32.959534,-117.186173,40.8,78.4,0.9,105,0,,,True,0.8
61,32.959534,-117.186173,40.8,78.4,0.787,103,0,,,False,-0.7
63,32.959526,-117.18615,43.2,78.4,0.833,106,56,,,True,-1.8
65,32.959506,-117.186125,47.5,78.3,1.34,106,0,,,True,-1.7
69,32.959471,-117.186169,52.2,78.2,1.5,110,0,,,True,-0.7
70,32.959472,-117.186172,52.4,78.2,0.98,112,0,,,False,0.9
73,32.959525,-117.186184,58.4,78.3,1.362,112,59,,,True,1.2
74,32.95953,-117.186175,58.5,78.4,1.26,110,59,,,False,0.9
76,32.959529,-117.186176,58.6,78.4,1.033,110,57,,,False,0.9
78,32.95952,-117.186169,60.2,78.3,0.36,113,0,,,True,0.0
79,32.959513,-117.186169,60.4,78.3,0.38,117,0,,,False,0.0
82,32.959524,-117.186164,63.3,78.3,0.783,119,0,,,True,0.0
83,32.959528,-117.186162,63.6,78.4,0.68,119,0,,,True,-0.8
86,32.959514,-117.18615,65.7,78.3,0.757,121,0,,,True,0.0
89,32.959498,-117.186137,67.7,78.3,0.683,124,0,,,True,0.0
90,32.959498,-117.186135,67.8,78.3,0.6,126,0,,,False,-0.9
95,32.959522,-117.186119,71.2,78.3,0.583,126,45,,,True,0.0
99,32.959505,-117.186147,73.0,78.3,0.578,123,0,,,True,0.0
101,32.9595,-117.186158,74.6,78.3,0.567,120,0,,,True,1.0
103,32.959503,-117.186175,76.2,78.3,0.625,119,0,,,True,1.0
105,32.959524,-117.186164,78.4,78.3,0.9,116,0,,,True,0.9
108,32.959546,-117.18617,80.9,78.4,0.94,116,0,,,True,0.0
112,32.959534,-117.186164,80.9,78.4,0.357,116,0,,,False,0.0
114,32.959534,-117.186173,80.9,78.4,0.0,116,0,,,False,0.0
118,32.959534,-117.186173,82.4,78.4,0.25,116,0,,,True,0.0
121,32.959535,-117.186177,82.4,78.4,0.214,120,0,,,False,0.0
123,32.959525,-117.186162,84.0,78.3,0.32,120,0,,,True,0.0
126,32.959518,-117.186169,84.0,78.3,0.32,116,0,,,False,-1.0
127,32.959518,-117.186169,84.0,78.3,0.267,116,0,,,False,-1.0
130,32.959523,-117.186181,84.3,78.3,0.043,117,0,,,False,-0.9
133,32.959524,-117.186155,86.6,78.3,0.433,114,0,,,True,-0.9
134,32.959523,-117.186147,87.3,78.3,0.471,113,0,,,True,0.0
138,32.959511,-117.186162,89.1,78.3,0.5,112,0,,,True,0.0
142,32.959539,-117.186173,91.3,78.3,0.5,112,0,,,True,-0.9
145,32.95954,-117.186171,91.4,78.3,0.329,109,0,,,False,-1.0
147,32.95954,-117.18619,93.2,78.3,0.38,107,0,,,True,-0.9
149,32.959526,-117.186215,95.9,78.3,0.657,106,0,,,True,-0.7
151,32.959518,-117.186227,97.3,78.2,0.983,106,0,,,True,-0.8
156,32.959489,-117.186219,100.2,78.2,0.614,105,0,,,True,-0.9
160,32.95948,-117.186169,105.3,78.2,0.889,104,0,,,True,-0.8
161,32.95947,-117.186159,106.7,78.2,1.3,103,0,,,True,-1.6
163,32.959447,-117.186169,109.5,78.1,1.329,102,53,,,True,-2.5
165,32.959438,-117.186201,112.5,78.0,1.44,102,53,,,True,-2.8
168,32.959415,-117.186243,117.1,77.9,1.52,101,53,,,True,-2.1
170,32.959413,-117.18623,117.5,77.9,1.0,101,56,,,False,-0.9
174,32.959417,-117.186211,118.6,77.9,0.25,102,0,,,False,-0.7
176,32.959417,-117.186221,119.1,77.9,0.267,101,0,,,False,-0.9
179,32.959432,-117.186222,120.7,78.0,0.42,102,0,,,True,0.0
182,32.959388,-117.186262,126.8,77.9,1.283,106,0,,,True,0.0
184,32.959379,-117.186282,128.5,77.8,1.56,109,0,,,True,-0.8
186,32.95939,-117.186254,131.2,77.9,1.5,110,0,,,True,0.0
188,32.959397,-117.186239,132.9,77.9,1.017,106,79,,,True,0.0
189,32.959407,-117.186235,134.1,77.9,1.12,103,80,,,True,2.0
190,32.959408,-117.186237,134.2,77.9,0.95,101,80,,,False,1.4
194,32.959411,-117.186227,136.0,77.9,0.38,100,0,,,True,1.3
198,32.959406,-117.186218,137.4,77.9,0.4,102,0,,,True,1.1
201,32.959419,-117.186237,138.5,78.0,0.357,101,0,,,True,0.9
207,32.959432,-117.186244,138.6,78.0,0.133,102,0,,,False,0.0
212,32.959432,-117.186244,138.8,78.0,0.027,104,0,,,False,0.0
216,32.95943,-117.18625,139.0,78.0,0.044,107,0,,,False,0.0
217,32.959432,-117.186238,139.0,78.0,0.04,107,0,,,False,0.0
220,32.959421,-117.186244,139.9,78.0,0.137,111,0,,,True,0.9
222,32.95942,-117.186216,142.5,78.0,0.7,113,0,,,True,0.0
225,32.959403,-117.186211,142.6,77.9,0.54,114,0,,,False,0.0
227,32.9594,-117.186233,144.6,77.9,0.42,113,0,,,True,0.0
231,32.959399,-117.186231,145.7,77.9,0.517,112,0,,,False,0.0
234,32.959409,-117.18623,146.9,77.9,0.329,109,0,,,True,-0.8
236,32.95942,-117.186243,148.4,78.0,0.54,107,0,,,True,0.0
238,32.959434,-117.18623,150.6,78.0,0.7,104,0,,,True,0.0
239,32.959438,-117.186222,151.4,78.0,0.9,103,0,,,True,0.0
242,32.959412,-117.186218,154.4,77.9,1.0,100,0,,,True,-0.9
243,32.959404,-117.186219,154.8,77.9,0.84,100,0,,,True,-1.0
244,32.959407,-117.186238,156.6,77.9,1.04,100,0,,,True,-0.8
247,32.959416,-117.186255,159.3,77.9,0.98,100,0,,,True,-0.9
250,32.959406,-117.186238,161.0,77.9,0.733,100,65,,,True,-0.9
252,32.959387,-117.186231,163.4,77.9,0.82,100,65,,,True,0.0
254,32.959374,-117.186237,165.0,77.8,0.814,101,65,,,True,0.0
257,32.959381,-117.186241,167.9,77.8,0.9,100,74,,,True,0.0
258,32.959397,-117.186246,169.8,77.9,1.067,100,77,,,True,2.1
260,32.959407,-117.186248,173.3,77.9,1.383,100,77,,,True,2.0
261,32.959405,-117.186242,173.6,77.9,1.229,101,77,,,False,1.3
263,32.959424,-117.186236,174.5,78.0,0.94,101,77,,,True,1.0
265,32.959419,-117.186233,175.0,78.0,0.34,101,77,,,False,2.0
266,32.959421,-117.186227,175.4,78.0,0.36,102,77,,,True,2.0
268,32.959417,-117.186229,175.4,77.9,0.18,101,0,,,False,0.0
272,32.959401,-117.186234,176.7,77.9,0.217,103,73,,,True,0.0
276,32.95941,-117.186235,177.6,77.9,0.275,106,72,,,False,0.0
277,32.959416,-117.186236,177.6,77.9,0.18,110,0,,,False,0.0
278,32.959419,-117.18624,177.8,78.0,0.183,113,0,,,False,-1.0
279,32.959423,-117.186241,178.0,78.0,0.186,113,0,,,False,-0.8
281,32.959428,-117.186241,178.7,78.0,0.22,113,65,,,True,0.0
285,32.959412,-117.186249,180.4,77.9,0.4,114,65,,,True,0.0
289,32.959397,-117.186232,183.0,77.9,0.538,117,0,,,True,0.0
291,32.959401,-117.186229,183.4,77.9,0.5,120,0,,,False,-0.9
294,32.959405,-117.18623,185.2,77.9,0.44,119,0,,,True,0.0
297,32.959417,-117.186246,187.2,77.9,0.633,115,0,,,True,0.0
299,32.959417,-117.186246,187.2,77.9,0.4,113,0,,,False,0.0
304,32.959409,-117.186222,189.7,77.9,0.357,114,0,,,True,0.0
309,32.959408,-117.186221,190.4,77.9,0.32,113,0,,,False,0.0
313,32.959415,-117.186222,191.8,77.9,0.233,113,0,,,True,1.5
315,32.959406,-117.186214,192.9,77.9,0.417,109,0,,,True,1.8
316,32.959397,-117.18622,193.3,77.9,0.414,105,0,,,True,2.7
318,32.959411,-117.186239,193.3,77.9,0.3,102,0,,,False,2.9
319,32.959414,-117.18624,193.6,77.9,0.3,99,0,,,False,0.8
321,32.959423,-117.186244,194.7,78.0,0.28,97,0,,,True,0.9
323,32.959456,-117.186242,198.3,78.1,1.0,101,0,,,True,0.9
325,32.959473,-117.186216,200.9,78.2,1.217,102,0,,,True,-0.7
326,32.959473,-117.186216,200.9,78.2,1.24,109,0,,,False,-1.9
328,32.959445,-117.186217,204.0,78.0,1.14,112,0,,,True,-1.8
332,32.959404,-117.18622,208.7,77.9,1.3,113,0,,,True,-1.8
