t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941345,-117.154068,0.0,82.2,0.0,77,,,,False,0.0
4,32.941296,-117.154025,6.6,82.4,1.65,76,,,,True,-1.2
5,32.941272,-117.154032,9.0,82.2,1.8,76,,,,True,1.1
8,32.941218,-117.154079,16.8,82.0,2.1,75,,,,True,-0.9
14,32.941079,-117.154195,35.7,82.6,2.967,75,,,,True,-1.9
18,32.940932,-117.154187,52.3,82.0,3.55,74,,,,True,-2.4
20,32.940842,-117.154174,62.1,81.2,4.4,79,,,,True,-6.1
21,32.940799,-117.154172,66.9,80.8,4.457,80,,,,True,-4.7
23,32.940726,-117.15417,75.0,80.2,4.54,81,,,,True,-2.7
27,32.940588,-117.154173,90.4,80.2,3.917,81,,,,True,-2.6
29,32.940511,-117.154169,99.1,80.2,4.017,81,,,,True,-1.8
32,32.940383,-117.154151,113.6,79.6,4.64,81,,,,True,-3.6
33,32.940339,-117.154143,118.5,79.4,4.683,80,,,,True,-5.3
34,32.94029,-117.154142,123.7,79.0,4.92,80,,,,True,-6.9
35,32.940239,-117.154148,129.5,78.6,5.067,80,,,,True,-7.8
37,32.940121,-117.15415,142.4,77.6,5.76,80,,,,True,-8.1
38,32.940058,-117.154148,149.1,77.0,6.12,80,,,,True,-8.2
40,32.939926,-117.154152,163.3,75.8,6.76,80,,,,True,-8.5
41,32.939859,-117.154143,170.9,75.2,6.9,81,,,,True,-8.1
42,32.939799,-117.154132,177.9,74.6,7.1,85,,,,True,-7.2
43,32.939748,-117.154138,183.6,74.2,6.9,86,,,,True,-4.8
45,32.939669,-117.154081,193.9,73.6,6.12,87,,,,True,-3.7
47,32.939628,-117.15398,204.4,73.6,5.3,87,,,,True,-3.1
48,32.939609,-117.153924,209.9,73.4,5.26,86,,,,True,-1.4
49,32.93959,-117.153864,215.7,73.2,5.35,86,,,,True,-3.8
50,32.939564,-117.153806,221.9,73.2,5.6,86,,,,True,-4.8
53,32.939463,-117.153628,241.3,72.2,6.28,86,,,,True,-5.3
54,32.939405,-117.153612,247.4,71.6,6.34,86,,,,True,-6.4
55,32.939349,-117.153625,253.6,71.2,6.34,88,,,,True,-5.8
56,32.939303,-117.153655,259.2,70.8,6.217,89,,,,True,-2.2
57,32.939256,-117.153693,265.3,70.8,6.2,90,,,,True,-1.4
60,32.939129,-117.15383,284.3,70.8,6.14,91,,,,True,-0.8
62,32.939064,-117.153948,297.6,70.6,6.46,91,,,,True,-1.1
64,32.939017,-117.154071,310.2,70.4,6.414,91,,,,True,-2.3
66,32.938989,-117.154194,322.2,70.2,6.317,90,,,,True,-2.5
67,32.938982,-117.154253,327.8,69.8,6.04,90,,,,True,-2.7
74,32.938932,-117.15462,362.4,69.0,5.025,86,,,,True,-3.3
76,32.938919,-117.154703,370.4,68.8,4.733,85,,,,True,-2.6
79,32.938889,-117.154823,382.0,68.2,3.92,82,,,,True,-1.7
81,32.938872,-117.154896,389.5,68.2,3.82,82,,,,True,-1.2
83,32.938827,-117.154972,397.8,68.4,3.914,81,,,,True,-1.4
84,32.938806,-117.155038,404.1,68.4,4.42,81,,,,True,-4.9
85,32.9388,-117.155114,411.0,67.8,4.833,81,,,,True,-5.6
87,32.938796,-117.155281,426.6,66.4,6.183,81,,,,True,-5.5
89,32.938713,-117.155391,440.3,66.0,7.24,81,,,,True,-3.7
90,32.938675,-117.155454,447.5,66.0,7.3,81,,,,True,0.0
91,32.938649,-117.155519,454.1,66.2,7.183,81,,,,True,0.5
93,32.938558,-117.155603,467.4,66.4,6.8,80,,,,True,-1.2
95,32.938455,-117.155686,481.0,66.2,6.7,81,,,,True,-3.7
97,32.938361,-117.155798,495.6,65.4,6.917,80,,,,True,-6.2
98,32.938343,-117.15587,502.4,64.4,7.0,80,,,,True,-6.8
99,32.93831,-117.155935,509.1,63.8,6.95,80,,,,True,-5.8
100,32.938257,-117.155981,516.3,63.8,7.06,80,,,,True,-2.3
101,32.9382,-117.156009,523.3,63.8,7.05,80,,,,True,-1.2
103,32.938092,-117.156072,536.7,63.6,6.86,80,,,,True,-1.2
104,32.938038,-117.156103,543.3,63.4,6.84,80,,,,True,-1.9
105,32.937985,-117.156103,549.3,63.4,6.6,80,,,,True,-1.7
106,32.937934,-117.156109,554.8,63.2,6.3,80,,,,True,-1.5
107,32.937886,-117.156131,560.1,63.2,6.133,80,,,,True,-2.2
109,32.937831,-117.156221,570.2,63.0,5.38,78,,,,True,-3.0
110,32.937811,-117.156281,576.2,62.8,5.38,78,,,,True,-2.9
112,32.937774,-117.156406,588.3,62.2,5.64,74,,,,True,-2.3
113,32.937751,-117.156469,595.0,62.2,5.817,74,,,,True,-2.0
116,32.937689,-117.156655,613.6,62.0,6.233,74,,,,True,-1.2
118,32.937642,-117.156782,626.6,61.8,6.32,76,,,,True,-2.0
120,32.937574,-117.156882,638.6,61.6,6.229,77,,,,True,-2.2
121,32.937539,-117.156925,644.2,61.2,6.12,79,,,,True,-1.0
122,32.937508,-117.156978,650.0,61.2,6.067,80,,,,True,0.0
125,32.937435,-117.157145,668.0,61.4,5.88,82,,,,True,0.6
126,32.937413,-117.157203,673.8,61.6,5.92,88,,,,True,-0.6
127,32.937392,-117.157263,679.8,61.4,5.96,101,,,,True,-4.0
128,32.937369,-117.15732,685.7,61.0,5.95,113,,,,True,-4.7
131,32.937298,-117.157481,702.6,60.0,5.76,116,,,,True,-3.7
132,32.937274,-117.157529,708.0,60.0,5.64,116,,,,True,-2.2
135,32.937214,-117.157669,722.5,59.8,5.257,117,,,,True,1.9
137,32.937171,-117.157758,732.1,60.0,4.82,117,,,,True,1.7
140,32.937104,-117.157875,745.3,60.8,4.56,117,,,,True,2.0
145,32.937009,-117.158082,767.5,61.0,4.425,115,,,,True,2.9
146,32.93699,-117.158122,771.7,60.8,4.4,115,,,,True,1.5
153,32.936881,-117.158406,801.2,62.0,4.213,115,,,,True,1.2
156,32.936849,-117.158527,812.8,61.8,4.11,118,,,,True,2.2
161,32.936784,-117.158745,834.5,61.8,4.162,120,,,,True,2.1
163,32.936765,-117.158842,843.6,62.4,4.4,123,,,,True,3.1
164,32.936751,-117.158888,848.5,63.0,4.463,124,,,,True,0.0
166,32.936733,-117.158983,857.8,63.2,4.66,126,,,,True,-1.5
170,32.936696,-117.159153,874.0,61.8,4.25,127,,,,True,-2.1
172,32.936689,-117.159246,882.5,61.8,4.117,127,,,,True,-3.1
175,32.936692,-117.159387,895.5,62.0,4.3,130,,,,True,-1.5
177,32.936722,-117.159453,902.8,61.8,4.06,134,,,,True,-0.8
181,32.936767,-117.159556,914.4,61.2,3.15,133,,,,True,-2.8
185,32.936704,-117.159721,931.3,61.4,3.563,133,,,,True,-2.0
188,32.9367,-117.159886,946.2,60.6,4.543,132,,,,True,-0.9
189,32.936682,-117.159943,951.7,60.8,4.663,132,,,,True,-2.4
190,32.936656,-117.159996,957.6,60.8,5.26,132,,,,True,-1.6
193,32.936602,-117.160148,973.1,60.4,5.38,133,,,,True,-1.6
195,32.936524,-117.160205,983.0,60.0,5.08,134,,,,True,-2.2
196,32.936481,-117.160226,988.1,60.2,5.083,134,,,,True,-2.2
