t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.938283,-117.169385,0.0,71.6,0.0,67,0,,,False,-11.1
1,32.938287,-117.169384,0.3,71.8,0.3,67,0,,,False,-9.5
4,32.938288,-117.169382,0.4,71.4,0.1,70,0,,,False,-10.2
9,32.938301,-117.169373,0.4,71.4,0.013,73,0,,,False,-12.3
13,32.938298,-117.169389,1.8,71.4,0.156,75,0,,,True,-12.3
14,32.9383,-117.169389,1.8,71.4,0.28,72,0,,,False,-6.7
21,32.938289,-117.169385,4.2,71.2,0.3,72,0,,,True,-5.2
27,32.938298,-117.169378,5.9,71.0,0.315,70,0,,,False,-5.9
36,32.938294,-117.169393,8.1,70.6,0.26,72,0,,,False,-4.6
38,32.938294,-117.169393,8.1,70.6,0.2,76,0,,,False,0.0
48,32.938274,-117.169423,11.9,70.8,0.317,73,0,,,True,5.1
49,32.938268,-117.16943,12.9,70.8,0.436,73,0,,,True,3.4
58,32.93825,-117.169449,16.0,71.2,0.41,71,0,,,True,2.5
63,32.938249,-117.169449,16.0,71.0,0.221,68,0,,,False,2.6
66,32.93822,-117.169466,19.8,71.0,0.475,68,0,,,True,0.0
76,32.93815,-117.169474,28.0,71.2,0.923,67,0,,,True,1.6
79,32.938146,-117.169473,28.6,71.2,0.677,64,0,,,False,6.7
83,32.938149,-117.169471,28.6,71.2,0.086,65,0,,,False,6.1
88,32.938149,-117.169471,28.6,71.2,0.0,68,0,,,False,1.6
90,32.938148,-117.169471,28.8,71.6,0.029,73,0,,,False,3.0
91,32.938143,-117.169473,29.3,71.6,0.087,76,0,,,True,3.1
92,32.938139,-117.169472,29.6,71.6,0.111,76,0,,,True,0.0
95,32.93811,-117.169475,32.7,71.2,0.78,77,0,,,True,0.0
103,32.938032,-117.169473,41.5,71.6,1.082,76,51,,,True,0.0
112,32.937937,-117.169464,52.1,71.6,1.141,79,54,,,True,0.6
119,32.937873,-117.169461,59.0,71.6,1.094,81,52,,,True,-1.1
129,32.937788,-117.169458,68.5,71.4,0.965,80,50,,,True,-2.3
137,32.937713,-117.169433,77.6,71.2,1.033,77,48,,,True,-4.1
138,32.937711,-117.169431,78.0,71.0,1.056,78,48,,,True,-6.0
147,32.93767,-117.169388,83.6,70.6,0.6,76,0,,,True,-9.3
149,32.937665,-117.16937,85.3,70.4,0.664,76,0,,,True,-5.7
153,32.937653,-117.169347,88.3,70.2,0.783,79,0,,,True,-6.8
160,32.937603,-117.169297,95.4,70.0,0.918,80,49,,,True,-5.8
166,32.937571,-117.169245,101.3,69.4,1.0,79,50,,,True,-7.6
167,32.937565,-117.169235,102.4,69.4,1.0,80,53,,,True,-9.9
174,32.937526,-117.169217,106.8,68.8,0.688,80,46,,,True,-7.1
180,32.937516,-117.169189,109.6,68.6,0.554,81,0,,,True,-7.7
187,32.937515,-117.169187,110.7,68.8,0.3,82,0,,,False,-9.3
192,32.937487,-117.169153,115.4,68.4,0.483,83,0,,,True,-8.0
195,32.937477,-117.169134,117.5,67.8,0.85,82,51,,,True,-10.4
199,32.937451,-117.169097,122.1,67.6,0.957,78,51,,,True,-9.5
201,32.937434,-117.169084,124.1,67.4,1.1,75,51,,,True,-5.5
203,32.937421,-117.169074,125.9,67.4,1.05,75,52,,,True,-5.5
210,32.937364,-117.169065,132.0,67.0,0.878,75,50,,,True,-3.8
216,32.93736,-117.169065,133.0,67.0,0.546,75,0,,,False,4.3
223,32.937349,-117.169063,134.5,67.0,0.192,72,0,,,False,-4.0
225,32.937348,-117.169062,134.9,67.0,0.211,69,0,,,False,-2.1
228,32.937347,-117.169061,135.1,67.8,0.12,69,0,,,False,-3.7
238,32.937339,-117.169061,136.0,67.0,0.085,72,0,,,False,-4.4
241,32.937324,-117.169063,137.6,66.8,0.192,75,0,,,True,-10.9
245,32.937285,-117.169061,141.7,66.8,0.814,76,49,,,True,-4.6
252,32.93723,-117.169058,148.0,66.4,0.945,79,0,,,True,-3.0
253,32.937223,-117.169058,149.0,66.4,0.913,80,47,,,True,-3.4
256,32.937206,-117.169057,150.8,66.4,0.827,77,48,,,True,-1.6
258,32.937181,-117.169057,153.4,66.4,0.88,75,50,,,True,-1.7
260,32.937161,-117.16906,155.5,66.2,0.929,75,50,,,True,-1.8
265,32.937114,-117.16906,160.8,66.2,1.057,69,52,,,True,-1.8
266,32.937105,-117.169061,161.8,66.2,1.05,66,50,,,True,1.4
269,32.937079,-117.169064,164.7,66.2,1.022,63,50,,,True,1.7
273,32.937039,-117.169064,169.3,66.4,1.071,69,49,,,True,3.2
