t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,42.416996,-71.159026,0.0,27.6,0.0,75,0,0,,False,0.0
1,42.416979,-71.159013,1.8,27.6,1.8,74,0,0,,True,0.0
2,42.416948,-71.159024,5.2,27.6,2.6,74,0,0,,True,-1.5
3,42.416913,-71.159057,9.8,27.6,3.267,72,0,0,,True,-1.3
4,42.416886,-71.159065,13.2,27.4,3.3,70,0,0,,True,-2.7
5,42.416849,-71.159075,16.9,27.4,3.38,69,0,0,,True,-2.9
6,42.416827,-71.159083,19.9,27.2,3.62,70,83,354,,True,-1.5
7,42.416791,-71.159097,23.4,27.2,3.64,71,83,355,,True,-1.6
8,42.416764,-71.159111,26.4,27.2,3.32,72,83,317,,True,0.0
9,42.416733,-71.159128,29.8,27.2,3.32,73,84,284,,True,0.0
10,42.416703,-71.159102,33.2,27.2,3.26,76,84,295,,True,-1.4
11,42.416693,-71.159066,36.5,27.2,3.32,78,85,296,,True,-1.3
12,42.416688,-71.159013,40.3,27.0,3.38,81,85,300,,True,-1.2
13,42.416684,-71.158961,44.9,27.0,3.7,83,85,307,,True,-2.4
14,42.416677,-71.158907,49.5,27.0,3.94,85,84,321,,True,-1.2
15,42.416671,-71.158864,53.2,26.8,4.0,88,84,372,,True,-1.3
16,42.416664,-71.158809,57.3,26.8,4.16,90,84,384,,True,-1.3
17,42.416659,-71.158773,60.8,26.8,4.1,93,88,381,,True,0.0
18,42.416648,-71.158717,65.2,26.8,4.06,96,88,379,,True,0.0
19,42.416641,-71.158674,69.1,26.8,3.92,98,88,359,,True,0.0
20,42.416636,-71.158626,73.0,26.8,3.96,101,88,349,,True,0.0
21,42.416623,-71.158577,77.1,26.8,3.96,103,87,352,,True,0.0
22,42.416614,-71.158542,80.6,26.8,3.96,105,87,351,,True,0.0
23,42.416599,-71.158502,84.0,26.8,3.76,107,87,349,,True,0.0
24,42.416588,-71.158468,86.9,26.8,3.56,108,87,347,,True,-1.4
