t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.942049,-117.084668,0.0,119.6,0.0,80,,,,False,-2.5
4,32.942026,-117.084609,5.8,119.4,1.45,77,,,,True,-1.0
5,32.942024,-117.084586,8.1,119.4,1.62,75,,,,True,-0.9
9,32.942035,-117.084467,19.4,119.4,2.72,78,,,,True,0.0
10,32.942031,-117.084429,22.6,119.4,2.9,81,,,,True,-1.0
11,32.94202,-117.084396,25.8,119.4,2.95,85,,,,True,-1.6
12,32.941995,-117.084375,28.9,119.2,2.971,87,,,,True,1.8
13,32.94197,-117.08436,31.8,119.2,2.963,87,,,,True,2.0
19,32.941755,-117.084313,55.7,120.0,3.829,88,,,,True,2.3
26,32.941503,-117.084211,85.6,120.6,4.138,92,,,,True,2.9
27,32.94147,-117.084196,89.3,120.6,4.2,92,,,,True,3.0
30,32.941373,-117.084137,101.4,121.2,4.155,95,,,,True,4.7
32,32.941312,-117.084096,109.0,121.6,3.94,98,,,,True,5.7
34,32.941264,-117.084061,115.3,122.0,3.714,102,,,,True,5.6
35,32.941248,-117.084046,117.5,122.2,3.22,104,,,,True,7.1
36,32.941235,-117.084035,119.1,122.2,2.95,108,,,,True,11.8
37,32.941232,-117.084026,120.2,122.4,2.24,109,,,,True,11.8
39,32.941233,-117.084024,120.4,122.6,1.02,109,,,,False,6.1
44,32.941233,-117.084024,120.4,122.6,0.029,113,,,,False,5.4
50,32.941233,-117.084024,120.4,122.6,0.0,109,,,,False,1.7
53,32.941233,-117.084024,120.4,122.6,0.0,107,,,,False,1.9
58,32.941213,-117.084025,122.0,122.6,0.2,104,,,,True,0.0
60,32.941187,-117.084009,125.1,122.6,0.671,104,,,,True,0.0
61,32.941175,-117.084006,126.5,122.6,0.762,103,,,,True,3.1
63,32.941157,-117.084028,129.3,122.4,1.46,104,,,,True,3.7
64,32.941154,-117.084044,130.9,122.6,1.483,104,,,,True,3.7
68,32.94119,-117.08415,141.3,123.2,2.4,104,,,,True,6.3
70,32.941192,-117.084223,148.1,123.4,2.867,104,,,,True,8.2
72,32.94119,-117.084295,154.7,124.0,2.975,105,,,,True,11.5
74,32.941191,-117.08435,160.1,125.0,3.133,105,,,,True,14.1
77,32.941199,-117.084426,167.3,126.2,2.52,106,,,,True,8.8
78,32.941207,-117.084449,169.4,126.4,2.45,107,,,,True,6.6
82,32.94125,-117.084573,182.1,126.4,2.96,106,,,,True,4.2
86,32.941325,-117.084664,193.5,127.2,3.012,108,,,,True,1.9
88,32.941369,-117.084715,200.4,127.6,3.05,110,,,,True,1.2
91,32.941406,-117.08482,210.9,127.2,3.48,113,,,,True,1.3
92,32.941407,-117.084859,214.4,126.8,3.483,114,,,,True,1.6
95,32.941379,-117.08495,223.8,127.6,3.343,117,,,,True,8.3
96,32.941367,-117.084968,225.8,128.0,2.98,117,,,,True,17.0
97,32.941358,-117.084983,227.7,128.6,2.66,118,,,,True,23.8
100,32.941325,-117.085014,232.0,129.8,1.64,119,,,,True,16.6
101,32.941313,-117.085029,233.9,130.0,1.62,120,,,,True,15.4
105,32.941265,-117.085117,243.9,131.0,2.38,118,,,,True,7.6
106,32.941262,-117.085138,245.9,131.4,2.4,119,,,,True,7.3
110,32.941225,-117.085238,255.7,131.6,2.36,120,,,,True,6.0
111,32.941198,-117.08524,258.5,131.8,2.52,120,,,,True,8.6
112,32.941181,-117.085229,260.7,132.0,2.467,120,,,,True,14.4
114,32.941177,-117.085186,264.5,133.0,2.325,122,,,,True,11.9
115,32.941177,-117.085162,266.8,133.2,2.22,123,,,,True,10.3
119,32.941167,-117.08507,275.3,133.8,2.16,126,,,,True,5.8
122,32.941153,-117.085003,282.0,134.2,2.171,129,,,,True,3.6
128,32.941102,-117.084867,295.8,134.8,2.278,128,,,,True,2.9
131,32.941034,-117.084802,305.2,134.6,2.578,131,,,,True,2.4
133,32.940999,-117.084776,310.0,134.8,2.84,132,,,,True,2.4
135,32.94095,-117.084785,314.9,135.0,2.729,135,,,,True,6.8
137,32.940922,-117.084833,320.5,135.4,2.55,138,,,,True,8.8
139,32.940913,-117.084889,325.9,136.0,2.65,144,,,,True,11.8
140,32.940908,-117.084912,328.2,136.4,2.66,147,,,,True,15.9
141,32.940901,-117.084931,330.2,136.8,2.55,150,,,,True,8.0
142,32.940897,-117.084949,331.8,137.2,2.26,151,,,,True,2.6
148,32.940901,-117.085101,346.0,137.6,2.257,151,,,,True,1.0
155,32.940914,-117.085319,366.4,137.4,2.662,148,,,,True,-1.3
157,32.940909,-117.085384,372.3,137.2,2.922,148,,,,True,-3.6
159,32.940902,-117.085469,379.7,136.6,3.064,152,,,,True,-3.8
161,32.94087,-117.085503,384.5,136.2,3.017,155,,,,True,-1.0
163,32.940842,-117.085506,387.4,136.6,2.517,156,,,,True,4.7
165,32.940812,-117.085541,391.6,137.0,1.983,154,,,,True,7.7
169,32.940741,-117.085586,400.8,137.6,2.233,154,,,,True,7.4
171,32.940696,-117.085607,405.4,137.8,2.3,154,,,,True,6.7
173,32.940671,-117.085578,409.1,138.2,2.188,154,,,,True,8.2
176,32.940662,-117.085508,415.6,138.6,2.04,155,,,,True,9.4
177,32.940675,-117.085489,417.9,139.0,2.083,154,,,,True,9.3
178,32.940687,-117.085467,420.3,139.2,2.24,154,,,,True,12.2
182,32.940714,-117.085387,428.4,140.0,2.1,153,,,,True,11.4
183,32.940718,-117.085367,430.3,140.4,2.0,153,,,,True,10.6
186,32.940731,-117.085316,435.5,141.0,1.9,153,,,,True,8.2
188,32.940752,-117.085282,439.2,141.2,1.78,153,,,,True,7.2
190,32.940757,-117.085242,443.0,141.2,1.814,153,,,,True,7.4
193,32.940735,-117.08517,449.8,141.8,2.12,154,,,,True,6.6
195,32.940732,-117.085124,454.4,142.4,2.28,154,,,,True,5.5
198,32.940744,-117.085063,460.4,142.6,2.12,155,,,,True,5.3
202,32.940726,-117.084978,468.3,142.6,1.986,156,,,,True,5.1
204,32.940691,-117.08495,472.4,143.0,2.0,157,,,,True,8.1
205,32.940676,-117.084955,474.1,143.4,1.957,158,,,,True,10.6
