t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.935837,-117.260411,0.0,9.4,0.0,147,0,0,,False,0.0
1,32.93582,-117.260402,2.0,9.4,2.0,146,0,0,,True,-2.1
2,32.935793,-117.260397,5.0,9.4,2.5,146,0,0,,True,-1.4
3,32.935747,-117.260391,9.4,9.2,3.133,146,0,0,,True,-1.1
4,32.935704,-117.260389,14.5,9.2,3.625,146,0,0,,True,-1.0
5,32.935663,-117.26039,19.5,9.2,3.9,147,0,0,,True,-0.9
6,32.935615,-117.260384,24.8,9.2,4.56,147,0,0,,True,-0.9
7,32.935555,-117.260374,31.4,9.0,5.28,148,0,0,,True,-1.7
8,32.935497,-117.260363,37.6,9.0,5.64,148,0,0,,True,-1.7
9,32.935458,-117.260355,42.6,8.8,5.62,148,107,0,,True,-0.9
10,32.935413,-117.260345,47.9,8.8,5.68,148,107,484,,True,1.0
11,32.935366,-117.260334,53.0,8.8,5.64,147,107,464,,True,1.9
12,32.935316,-117.260326,58.5,9.2,5.42,147,107,452,,True,2.8
13,32.93527,-117.260318,64.1,9.2,5.3,147,106,423,,True,3.6
14,32.935222,-117.260304,69.3,9.4,5.34,147,103,427,,True,1.9
15,32.935165,-117.260291,75.0,9.6,5.42,148,103,437,,True,3.0
16,32.935132,-117.260295,79.4,9.6,5.28,147,104,454,,True,2.7
17,32.935087,-117.26029,84.0,9.8,5.1,147,104,424,,True,2.2
