t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.941363,-117.153962,1.9,87.8,0.0,64,0,0,,False,0.0
1,32.941333,-117.153959,5.5,87.8,0.0,66,0,0,,True,-2.4
2,32.941315,-117.153956,7.6,87.8,2.85,70,0,0,,True,-3.7
3,32.94129,-117.15396,10.4,87.6,2.833,71,0,0,,True,-6.0
4,32.941271,-117.153977,12.7,87.4,2.7,71,0,0,,True,-5.4
5,32.941251,-117.153998,15.5,87.2,2.72,70,83,263,,True,-3.4
6,32.941227,-117.15402,18.7,87.2,2.64,70,83,285,,True,-1.6
7,32.941205,-117.15404,22.1,87.2,2.9,71,84,288,,True,1.5
8,32.941176,-117.154066,25.6,87.2,3.04,71,84,305,,True,1.5
9,32.941156,-117.154086,28.9,87.4,3.24,73,86,319,,True,3.0
10,32.941133,-117.154103,32.1,87.4,3.32,75,86,330,,True,3.3
11,32.9411,-117.154117,35.5,87.6,3.36,77,84,332,,True,1.7
12,32.941084,-117.154124,37.9,87.6,3.16,80,83,318,,True,0.0
13,32.941055,-117.154121,40.8,87.6,3.04,83,83,306,,True,-1.8
14,32.941027,-117.154113,43.9,87.4,3.0,86,84,271,,True,-3.3
15,32.941005,-117.154109,46.7,87.4,2.92,88,84,268,,True,-4.9
16,32.940972,-117.154104,50.1,87.2,2.92,89,82,266,,True,-4.8
17,32.940947,-117.154094,53.1,87.0,3.04,90,82,265,,True,-5.8
18,32.940918,-117.154089,56.4,86.8,3.12,91,81,272,,True,-5.9
19,32.94088,-117.154091,60.4,86.6,3.3,93,81,271,,True,-7.1
20,32.940851,-117.154088,63.7,86.4,3.4,95,81,274,,True,-7.0
21,32.940822,-117.154087,67.2,86.0,3.42,96,81,286,,True,-7.5
22,32.940787,-117.154082,70.6,85.8,3.5,98,81,283,,True,-7.4
23,32.940762,-117.154083,73.7,85.6,3.46,99,80,284,,True,-6.1
24,32.940729,-117.154073,77.2,85.4,3.36,101,80,284,,True,-5.9
25,32.940701,-117.154067,80.4,85.2,3.34,102,80,275,,True,-4.3
26,32.94067,-117.154058,84.1,85.0,3.38,103,81,268,,True,-4.3
27,32.940635,-117.154041,87.7,85.0,3.42,104,82,263,,True,-2.8
28,32.94061,-117.154038,91.0,84.8,3.46,106,82,268,,True,-1.5
29,32.940576,-117.154028,94.6,84.8,3.48,107,83,269,,True,0.0
30,32.940553,-117.154016,97.6,84.8,3.44,108,83,274,,True,1.6
31,32.94053,-117.154005,100.6,85.0,3.3,109,84,270,,True,1.7
32,32.940505,-117.15398,103.7,85.0,3.2,110,85,257,,True,1.6
33,32.940483,-117.153961,106.7,85.0,3.14,111,85,251,,True,-1.6
34,32.940459,-117.153936,110.1,85.0,3.1,112,84,253,,True,-1.6
35,32.940447,-117.153906,113.1,84.8,3.1,113,84,254,,True,-3.1
36,32.940433,-117.153878,116.3,84.8,3.14,114,84,254,,True,-3.1
37,32.940427,-117.153839,119.6,84.6,3.18,114,84,255,,True,-1.6
38,32.940419,-117.153811,122.9,84.6,3.24,115,83,257,,True,-1.6
39,32.940416,-117.153782,125.7,84.6,3.12,116,83,260,,True,0.0
40,32.940422,-117.153746,128.6,84.6,3.1,117,83,261,,True,-1.7
41,32.940419,-117.153719,131.7,84.6,3.08,117,83,260,,True,-1.7
42,32.94042,-117.153683,134.6,84.4,3.0,118,82,261,,True,-3.4
43,32.940419,-117.153654,137.4,84.4,2.9,118,82,262,,True,-3.4
44,32.940416,-117.153624,140.4,84.2,2.94,119,83,262,,True,-1.7
45,32.94042,-117.153584,143.6,84.2,3.0,120,83,261,,True,-1.6
46,32.94042,-117.153556,146.6,84.2,2.98,120,83,262,,True,-1.5
47,32.940418,-117.153517,150.0,84.2,3.08,121,83,263,,True,-1.5
48,32.940422,-117.153477,153.8,84.0,3.28,121,83,265,,True,-1.4
49,32.940421,-117.153447,157.2,84.0,3.36,122,83,265,,True,-2.9
50,32.940422,-117.153404,160.6,84.0,3.4,122,83,268,,True,-1.5
51,32.940422,-117.153375,163.7,83.8,3.42,122,83,269,,True,-1.5
52,32.940422,-117.15334,167.0,83.8,3.4,123,83,270,,True,-1.6
53,32.940421,-117.153303,170.3,83.8,3.3,123,83,274,,True,-1.6
54,32.940419,-117.153276,173.2,83.8,3.2,124,83,274,,True,-1.6
55,32.940415,-117.153236,176.5,83.6,3.18,124,83,274,,True,-3.3
56,32.940413,-117.153209,179.2,83.6,3.1,125,83,274,,True,-3.3
57,32.940412,-117.153179,182.3,83.4,3.06,125,83,273,,True,-1.7
58,32.940412,-117.153141,185.4,83.4,3.02,126,83,272,,True,-1.6
59,32.94041,-117.153112,188.4,83.4,3.04,126,83,271,,True,-1.5
60,32.940407,-117.15307,191.9,83.4,3.08,127,83,271,,True,-1.6
61,32.940403,-117.153039,195.3,83.2,3.22,127,83,270,,True,-3.2
62,32.940401,-117.15301,198.1,83.2,3.16,128,83,270,,True,-3.3
63,32.940404,-117.152972,201.0,83.0,3.12,128,84,269,,True,-1.7
64,32.940402,-117.152944,204.1,83.0,3.14,129,84,267,,True,-1.6
65,32.940399,-117.152906,207.2,83.0,3.06,129,84,266,,True,-1.6
66,32.940397,-117.152872,210.6,83.0,3.06,129,84,267,,True,-1.5
67,32.940397,-117.152841,213.7,82.8,3.12,130,83,269,,True,-1.6
68,32.940399,-117.152801,217.2,82.8,3.24,131,83,269,,True,-3.1
69,32.940398,-117.152774,220.0,82.8,3.18,132,83,268,,True,-1.5
70,32.940398,-117.152737,223.4,82.6,3.24,133,83,267,,True,-3.3
71,32.940394,-117.152704,226.7,82.6,3.22,134,84,266,,True,-3.2
72,32.940394,-117.152679,229.3,82.4,3.12,135,84,267,,True,-1.6
73,32.940395,-117.152638,232.4,82.4,3.04,135,84,267,,True,-3.3
74,32.940394,-117.152609,235.7,82.4,3.14,136,84,265,,True,-1.6
75,32.940392,-117.152571,238.9,82.2,3.1,137,84,265,,True,-1.6
76,32.940391,-117.152537,242.2,82.2,3.1,137,84,266,,True,-1.6
77,32.940388,-117.152506,245.2,82.2,3.18,137,84,267,,True,0.0
78,32.940391,-117.152465,248.6,82.2,3.24,138,84,267,,True,-1.6
79,32.940389,-117.152436,251.6,82.2,3.18,138,83,268,,True,-1.6
80,32.940388,-117.152399,254.8,82.0,3.18,138,83,269,,True,-1.5
81,32.94039,-117.152358,258.1,82.0,3.18,138,83,270,,True,-3.0
82,32.940385,-117.152327,261.6,82.0,3.28,139,83,269,,True,-1.6
83,32.940368,-117.152293,264.8,81.8,3.24,139,83,268,,True,-3.3
84,32.940346,-117.152271,267.7,81.8,3.22,139,83,267,,True,-5.1
85,32.940326,-117.152256,270.3,81.6,3.1,139,82,270,,True,-5.3
86,32.940296,-117.152254,273.3,81.4,3.04,140,82,268,,True,-6.8
87,32.940272,-117.152258,276.1,81.2,2.9,140,82,264,,True,-6.7
88,32.94024,-117.152259,279.4,81.0,2.92,140,83,260,,True,-4.9
89,32.940215,-117.152264,282.2,80.8,2.9,140,83,260,,True,-4.7
90,32.940189,-117.152275,285.5,80.8,3.04,140,83,259,,True,-4.8
91,32.940156,-117.152288,289.0,80.6,3.14,140,83,258,,True,-3.0
92,32.940133,-117.152298,292.0,80.4,3.18,140,83,256,,True,-4.5
93,32.940098,-117.152304,295.5,80.4,3.22,141,83,255,,True,-3.1
94,32.940072,-117.152313,298.7,80.2,3.3,141,83,254,,True,-3.1
95,32.940046,-117.15232,302.0,80.2,3.3,141,83,254,,True,-4.8
96,32.940015,-117.152324,305.1,80.0,3.22,141,83,253,,True,-3.2
97,32.939993,-117.152334,308.1,79.8,3.22,141,83,253,,True,-4.9
98,32.939966,-117.152341,311.2,79.8,3.14,141,83,253,,True,-3.3
99,32.939933,-117.152346,314.3,79.6,3.12,142,82,253,,True,-3.2
100,32.939913,-117.152352,317.1,79.6,3.02,141,82,251,,True,-4.8
101,32.93988,-117.152358,320.5,79.4,3.08,141,82,250,,True,-4.9
102,32.939854,-117.152361,323.6,79.2,3.1,141,82,249,,True,-4.7
103,32.939829,-117.152366,326.6,79.0,3.08,141,83,248,,True,-4.9
104,32.939794,-117.15237,330.0,79.0,3.14,141,83,247,,True,-4.8
105,32.939772,-117.152382,332.8,78.8,3.14,141,83,247,,True,-3.4
106,32.939745,-117.152402,336.0,78.6,3.1,141,83,248,,True,-5.5
107,32.939743,-117.152426,338.2,78.6,2.92,141,83,248,,True,-3.5
108,32.939737,-117.152456,340.9,78.4,2.86,141,83,248,,True,-3.6
109,32.939717,-117.15249,344.3,78.4,2.86,141,83,248,,True,-6.5
110,32.939701,-117.152509,347.2,78.2,2.88,141,83,248,,True,-6.2
111,32.93968,-117.152532,350.5,77.8,2.9,141,83,246,,True,-9.5
112,32.93965,-117.152556,353.9,77.6,3.14,141,83,243,,True,-9.2
113,32.939628,-117.152568,356.9,77.2,3.2,141,83,240,,True,-9.0
114,32.939604,-117.152583,360.2,77.0,3.18,142,82,240,,True,-9.4
115,32.939571,-117.1526,363.8,76.6,3.32,142,82,238,,True,-9.0
116,32.939553,-117.152612,366.6,76.4,3.22,142,82,235,,True,-10.8
117,32.939522,-117.152629,370.2,76.0,3.26,142,81,235,,True,-11.2
118,32.939495,-117.15264,373.2,75.6,3.26,141,79,234,,True,-10.9
119,32.939472,-117.152653,376.3,75.2,3.22,142,79,230,,True,-11.7
120,32.939445,-117.152663,379.4,75.0,3.12,142,80,226,,True,-11.9
121,32.939418,-117.152667,382.2,74.6,3.12,142,81,222,,True,-10.0
122,32.939395,-117.152672,385.0,74.2,2.96,142,81,218,,True,-11.8
123,32.939364,-117.152676,388.3,74.0,3.02,143,81,215,,True,-11.9
124,32.939339,-117.152685,391.3,73.6,3.0,143,79,216,,True,-9.5
125,32.939317,-117.152694,394.0,73.2,2.92,143,79,213,,True,-11.6
126,32.939281,-117.152708,397.6,73.0,3.08,143,80,210,,True,-9.8
127,32.93926,-117.152714,400.4,72.6,3.08,143,80,208,,True,-7.8
128,32.939233,-117.15273,403.6,72.4,3.06,143,81,206,,True,-6.4
129,32.939206,-117.152748,406.9,72.2,3.12,143,82,206,,True,-4.4
130,32.939186,-117.152766,410.1,72.2,3.22,143,82,207,,True,-2.8
131,32.939152,-117.152793,414.1,72.0,3.3,143,82,211,,True,-2.8
132,32.939125,-117.152811,417.9,72.0,3.5,143,82,214,,True,-2.7
133,32.939101,-117.152832,421.4,71.8,3.56,143,83,221,,True,-2.9
134,32.939069,-117.15286,425.0,71.8,3.62,144,83,226,,True,-2.9
135,32.939056,-117.152884,428.0,71.6,3.58,144,83,229,,True,-2.9
136,32.939035,-117.152911,431.6,71.6,3.5,144,82,236,,True,-3.1
137,32.93901,-117.152936,435.0,71.4,3.42,144,82,237,,True,-1.5
138,32.938995,-117.152958,438.0,71.4,3.32,144,81,238,,True,-3.2
139,32.938973,-117.152991,441.4,71.4,3.28,144,81,240,,True,-3.4
140,32.938959,-117.15301,444.1,71.2,3.22,144,82,243,,True,-3.2
141,32.938942,-117.153031,446.9,71.0,3.06,144,83,245,,True,-3.4
142,32.938913,-117.153058,450.5,71.0,3.1,145,83,248,,True,-1.6
143,32.938899,-117.153077,453.2,71.0,3.04,145,83,250,,True,1.6
144,32.938876,-117.153099,456.3,71.0,2.98,145,83,253,,True,1.7
145,32.938852,-117.153112,459.4,71.2,3.06,145,83,257,,True,1.7
146,32.938836,-117.153131,462.0,71.2,3.02,145,83,259,,True,1.8
147,32.938814,-117.153155,464.8,71.2,2.86,145,82,263,,True,0.0
148,32.938802,-117.153174,467.3,71.2,2.82,145,82,265,,True,1.7
149,32.93878,-117.153198,470.6,71.2,2.86,145,82,269,,True,1.7
150,32.938754,-117.153221,474.0,71.4,2.92,145,83,271,,True,1.5
151,32.938739,-117.153243,476.9,71.4,2.98,145,83,273,,True,1.6
152,32.938717,-117.153272,480.3,71.4,3.1,145,83,276,,True,0.0
153,32.9387,-117.153294,483.4,71.4,3.22,146,83,280,,True,0.0
154,32.938683,-117.153317,486.1,71.4,3.1,146,83,283,,True,1.6
155,32.93866,-117.153346,489.5,71.4,3.1,146,83,286,,True,1.6
156,32.938646,-117.15337,492.6,71.6,3.14,146,83,288,,True,3.1
157,32.938624,-117.153404,496.1,71.6,3.16,146,83,290,,True,4.8
158,32.938609,-117.153427,499.2,71.8,3.16,146,83,292,,True,3.1
159,32.938589,-117.153447,502.1,72.0,3.2,146,83,295,,True,6.8
160,32.938568,-117.15347,505.3,72.0,3.16,147,84,297,,True,7.1
161,32.938553,-117.153484,507.8,72.4,3.04,147,84,300,,True,7.2
162,32.938532,-117.153505,510.5,72.6,2.88,147,84,304,,True,7.5
163,32.938516,-117.153528,513.2,72.8,2.8,147,84,305,,True,3.4
164,32.938499,-117.153544,516.0,72.8,2.78,147,84,306,,True,1.7
165,32.938468,-117.153565,519.4,72.8,2.82,148,84,306,,True,-3.2
166,32.938449,-117.153583,522.3,72.8,2.9,148,84,305,,True,-4.5
167,32.938424,-117.153597,525.6,72.4,3.02,148,84,305,,True,-6.3
168,32.938391,-117.153618,529.2,72.2,3.2,149,82,305,,True,-8.9
169,32.938373,-117.153637,532.0,72.0,3.2,149,82,302,,True,-8.6
170,32.938348,-117.15366,535.8,71.6,3.28,150,81,299,,True,-10.5
171,32.938316,-117.153682,539.5,71.2,3.44,150,80,290,,True,-10.3
172,32.938299,-117.153702,542.5,70.8,3.38,151,80,289,,True,-9.2
173,32.938276,-117.153727,545.6,70.6,3.28,151,80,289,,True,-8.1
174,32.938252,-117.153749,548.8,70.4,3.36,151,80,288,,True,-6.4
175,32.938239,-117.153769,551.8,70.2,3.2,151,80,284,,True,-6.6
176,32.938217,-117.153798,555.0,70.0,3.1,151,80,280,,True,-4.8
177,32.938199,-117.153819,557.8,69.8,3.06,151,81,277,,True,-4.7
178,32.93818,-117.153842,561.2,69.8,3.12,151,81,274,,True,-3.3
179,32.938157,-117.15387,564.5,69.6,3.14,152,81,273,,True,-1.6
180,32.938144,-117.153893,567.1,69.6,3.06,151,82,271,,True,-3.4
181,32.938124,-117.153915,570.4,69.6,3.08,151,82,270,,True,-1.8
182,32.938104,-117.153937,573.1,69.4,3.06,152,83,267,,True,-3.4
183,32.938089,-117.153956,575.7,69.4,2.9,152,83,261,,True,-3.5
184,32.938068,-117.153989,579.0,69.2,2.9,152,83,256,,True,-3.6
185,32.938053,-117.154007,581.7,69.2,2.92,152,82,253,,True,-3.3
186,32.93804,-117.154031,584.3,69.0,2.78,151,81,249,,True,-1.7
187,32.938019,-117.154067,587.8,69.0,2.94,151,81,247,,True,-1.6
188,32.938012,-117.154091,590.7,69.0,3.0,151,81,246,,True,0.0
189,32.938,-117.154126,594.3,69.0,3.06,151,81,245,,True,-1.6
190,32.937984,-117.154159,597.5,69.0,3.16,152,81,246,,True,-1.5
191,32.937979,-117.154185,600.3,68.8,3.2,151,81,245,,True,-3.1
192,32.937969,-117.154227,604.1,68.8,3.26,151,82,246,,True,-3.1
193,32.937958,-117.154258,607.2,68.6,3.3,152,82,248,,True,-1.5
194,32.937955,-117.154289,610.5,68.6,3.24,151,82,249,,True,-3.2
195,32.937949,-117.154331,614.0,68.6,3.3,151,81,250,,True,-1.6
196,32.937948,-117.154355,616.7,68.4,3.28,152,82,250,,True,-1.6
197,32.937939,-117.154388,619.9,68.4,3.16,151,82,254,,True,-1.7
198,32.937926,-117.154422,623.0,68.4,3.16,151,82,255,,True,0.0
199,32.937923,-117.154447,625.8,68.4,3.06,152,82,256,,True,-1.6
200,32.937913,-117.154486,629.3,68.4,3.06,151,82,257,,True,-1.7
201,32.937906,-117.154515,632.2,68.2,3.1,151,82,257,,True,-1.6
202,32.9379,-117.154542,635.1,68.2,3.04,152,82,258,,True,0.0
203,32.937889,-117.15458,638.5,68.2,3.1,152,82,261,,True,1.7
204,32.937886,-117.154604,641.0,68.4,3.04,152,82,264,,True,1.7
205,32.937878,-117.154636,644.0,68.4,2.94,152,83,265,,True,0.0
206,32.937866,-117.154667,646.9,68.4,2.94,152,83,267,,True,-3.3
207,32.937861,-117.154693,649.8,68.2,2.94,152,83,268,,True,-3.5
