t,lat,lng,distance_m,altitude_m,velocity_ms,heartrate,cadence,watts,temp_c,moving,grade_pct
0,32.957555,-117.18878,0.0,71.4,0.0,74,0,,,False,-17.2
1,32.957555,-117.18878,0.0,71.4,0.0,75,0,,,False,-17.2
4,32.957555,-117.18878,0.0,71.4,0.0,79,0,,,False,-17.2
6,32.957555,-117.18878,0.0,71.4,0.0,82,0,,,False,-16.1
8,32.957555,-117.18878,0.0,71.4,0.0,93,0,,,False,-4.8
10,32.957555,-117.18878,0.0,71.4,0.0,96,0,,,False,-4.8
13,32.957555,-117.18878,0.0,71.4,0.0,106,0,,,False,-4.5
14,32.957575,-117.188789,2.0,71.4,0.333,112,0,,,True,-13.2
15,32.957598,-117.188811,5.3,71.5,1.06,109,0,,,True,-12.3
19,32.957569,-117.188771,5.3,70.4,0.66,112,0,,,False,-12.3
22,32.957564,-117.188772,5.7,70.4,0.057,110,0,,,False,-11.1
29,32.957567,-117.18877,5.8,70.4,0.05,111,0,,,False,-8.8
30,32.957567,-117.18877,5.8,70.4,0.012,108,0,,,False,-8.8
31,32.957567,-117.18877,5.8,70.4,0.011,105,0,,,False,-8.8
32,32.957578,-117.188766,6.2,70.4,0.05,97,0,,,True,-8.8
33,32.957584,-117.18877,6.2,71.1,0.045,92,0,,,False,-10.9
34,32.957584,-117.18877,6.2,71.1,0.08,87,0,,,False,-10.8
35,32.957582,-117.188775,6.7,71.1,0.18,87,0,,,True,-4.1
36,32.957578,-117.188784,7.6,70.4,0.36,78,0,,,True,0.0
37,32.957568,-117.188782,8.1,70.4,0.38,68,0,,,True,0.0
39,32.957564,-117.188786,8.1,70.4,0.38,64,0,,,False,0.0
41,32.95757,-117.188793,9.0,70.4,0.28,62,0,,,True,-6.2
46,32.957558,-117.188791,11.4,70.4,0.471,63,41,,,True,0.0
48,32.957539,-117.188763,14.8,70.0,0.829,66,0,,,True,0.0
49,32.957546,-117.188762,15.5,70.4,0.813,67,0,,,True,0.0
50,32.957546,-117.188751,15.5,70.0,0.722,69,47,,,False,0.0
53,32.957559,-117.188767,17.5,70.4,0.54,72,0,,,True,6.1
55,32.957577,-117.188778,19.3,70.4,0.76,74,0,,,True,13.4
56,32.957579,-117.188781,19.6,70.4,0.683,73,0,,,True,10.7
58,32.957581,-117.188779,20.2,70.4,0.54,69,0,,,False,6.1
59,32.957584,-117.188773,20.8,71.1,0.55,65,0,,,True,9.6
64,32.957584,-117.18878,22.9,71.1,0.45,65,0,,,True,7.4
66,32.957587,-117.188789,23.0,71.1,0.314,75,0,,,False,0.0
67,32.957586,-117.188766,25.1,71.1,0.538,82,0,,,True,6.9
68,32.957595,-117.188766,25.3,71.1,0.5,86,66,,,False,-4.0
72,32.957599,-117.18877,27.0,71.1,0.38,91,0,,,True,-3.6
73,32.957593,-117.188778,27.0,71.1,0.34,95,0,,,False,-9.6
74,32.957587,-117.188779,27.0,71.1,0.283,102,0,,,False,-10.5
75,32.957585,-117.188775,27.0,71.1,0.243,108,0,,,False,-10.6
77,32.957574,-117.188781,27.0,70.4,0.0,111,0,,,False,0.0
79,32.957587,-117.188777,27.7,71.1,0.14,112,0,,,True,0.0
82,32.957579,-117.188754,29.4,70.0,0.48,108,0,,,True,0.0
83,32.95757,-117.188744,30.6,70.0,0.6,106,0,,,True,0.0
85,32.957562,-117.188747,32.2,70.0,0.75,106,0,,,True,0.0
87,32.957569,-117.188749,33.4,70.0,0.8,107,0,,,True,12.8
92,32.957586,-117.188774,36.5,71.1,0.614,106,0,,,True,0.0
95,32.957586,-117.188765,37.4,71.1,0.5,102,0,,,False,0.0
100,32.957588,-117.188767,38.0,71.1,0.188,101,0,,,False,0.0
107,32.957584,-117.18877,38.0,71.1,0.05,100,0,,,False,-13.3
112,32.95758,-117.18875,39.8,70.0,0.15,99,0,,,True,-6.5
115,32.957555,-117.18873,42.9,70.0,0.612,96,0,,,True,-7.0
116,32.957552,-117.188742,43.8,70.0,0.644,93,0,,,True,-7.4
117,32.957551,-117.188753,44.8,70.0,1.0,90,0,,,True,-5.3
118,32.957554,-117.188766,46.1,70.4,1.05,90,0,,,True,3.5
119,32.957559,-117.188782,47.3,70.4,1.071,91,0,,,True,4.4
121,32.957579,-117.188777,47.4,70.4,0.72,91,47,,,False,5.2
125,32.957581,-117.188778,47.5,70.4,0.033,91,0,,,False,2.1
